grid,velocity,T,D,X_NO,X_NH3,X_H2,X_O2,X_H,X_O,X_OH,X_HO2,X_N2,X_H2O,X_H2O2,X_NH2,X_NH,X_N,X_NNH,X_NH2OH,X_H2NO,X_HNOH,X_HNO,X_HON,X_NO2,X_HONO,X_HNO2,X_NO3,X_HONO2,X_N2O,X_N2H4,X_N2H3,X_N2H2,X_H2NN,X_AR
0,0.37106953,298,0.981009434,-9.97322944e-15,0.125786164,0.125786164,0.157232704,-4.06825835e-14,1.87926618e-16,1.57425833e-15,-8.71977391e-16,0.591194969,8.82572741e-17,8.66826319e-16,2.48224218e-14,-2.86212148e-15,1.81885033e-14,-2.75065092e-18,-2.14559215e-17,2.42965456e-14,1.75074872e-15,-6.82344702e-14,-2.82227984e-18,3.25170817e-16,2.5558071e-16,2.06346754e-14,-1.39832474e-18,-5.80079768e-15,3.55435522e-15,-1.22088767e-14,-3.31968861e-15,-2.06822279e-14,2.88482941e-14,-2.72348989e-18
0.00363636364,0.37106953,298,0.981009435,7.17947089e-16,0.125786164,0.125786163,0.157232704,-2.01283078e-18,7.49909268e-15,1.06186467e-18,-5.24493959e-14,0.591194969,5.08586272e-15,-5.41519658e-15,3.00073059e-14,-8.21583167e-18,4.64314271e-15,-3.13012328e-25,-2.16627751e-17,2.43016444e-14,1.75036604e-15,-6.81560819e-14,-3.15992486e-18,2.34092411e-14,2.55127869e-16,2.06341968e-14,-1.87496082e-18,-5.80127404e-15,3.54937282e-15,-1.18608787e-14,-3.37439327e-15,-2.06282543e-14,5.81146729e-15,-3.08324553e-18
0.00545454545,0.371069529,298,0.981009437,3.55706219e-15,0.125786164,0.125786161,0.157232705,1.66636487e-19,7.30187843e-15,1.39283907e-18,-4.42535245e-14,0.59119497,9.23760474e-15,-8.14330679e-15,3.71906765e-14,2.18311947e-19,1.91328746e-15,4.15646594e-24,4.94278922e-18,2.43341963e-14,1.77704657e-15,-6.80892447e-14,2.37191113e-17,2.7312247e-14,2.75530076e-16,2.06520792e-14,1.44388364e-17,-5.78499637e-15,3.56786792e-15,-1.17235998e-14,-3.34199197e-15,-2.06114117e-14,1.96915184e-15,2.30460015e-17
0.00727272727,0.371069522,298,0.981009456,4.65815604e-15,0.125786167,0.125786142,0.157232708,1.38145472e-19,5.93185656e-15,1.06044408e-18,-3.74266814e-14,0.591194983,4.11544905e-14,-1.0500271e-14,4.0696896e-14,-2.76064414e-19,7.65174398e-16,-4.32666007e-24,-2.36831362e-17,2.43196755e-14,1.74797112e-15,-6.80701719e-14,-5.53690392e-18,2.85763048e-14,2.53571047e-16,2.06328973e-14,-3.01839587e-18,-5.80241205e-15,3.54477256e-15,-1.16891558e-14,-3.35500047e-15,-2.0650872e-14,6.54966661e-16,-5.3635342e-18
0.00909090909,0.371069451,298,0.981009644,7.46198377e-15,0.125786193,0.12578596,0.157232741,1.37734622e-19,4.51449094e-15,8.2341645e-19,-3.1332274e-14,0.591195106,9.0061973e-13,-1.23010831e-14,4.3341791e-14,-1.07441391e-19,3.07369958e-16,-1.65970203e-24,-2.61246332e-17,2.46407222e-14,1.73955169e-15,-6.777033e-14,-1.3900958e-17,2.90338444e-14,2.47000066e-16,2.06267631e-14,-8.69935058e-18,-5.80808171e-15,3.58765351e-15,-1.16820877e-14,-3.350425e-15,-2.06695464e-14,2.1806514e-16,-1.36787707e-17
0.01,0.371069185,298.000001,0.981010346,3.57503838e-14,0.125786293,0.125785274,0.157232866,1.78712044e-19,3.91296271e-15,8.20046215e-19,-2.79207511e-14,0.591195567,1.03321113e-11,-1.15216913e-14,5.0481316e-14,5.99444572e-19,2.02777631e-16,9.44544376e-24,7.31049015e-17,2.85418459e-14,1.76918431e-15,-6.45783203e-14,1.68540565e-17,2.96860113e-14,2.73638599e-16,2.06465253e-14,9.3585755e-18,-5.79005801e-15,4.4051953e-15,-1.16125044e-14,-3.30517412e-15,-2.06445258e-14,1.26676784e-16,1.4787829e-17
0.0109090909,0.371067774,298.000009,0.981014077,4.8453913e-13,0.125786823,0.125781617,0.157233531,2.81374566e-19,3.38178242e-15,5.62702823e-19,-2.17386648e-14,0.59119803,1.51742653e-10,1.33752074e-14,1.17300714e-13,-4.29963449e-19,1.00529924e-16,-6.87559729e-24,1.18550352e-15,9.05762282e-14,1.75650307e-15,-1.45489578e-14,1.87623234e-17,3.91532549e-14,3.4528477e-16,2.0631972e-14,-4.01248849e-18,-5.80315968e-15,2.09105086e-14,-1.05421201e-14,-3.01752818e-15,-2.06519124e-14,8.09247095e-17,-6.67459526e-18
0.0118181818,0.371060319,298.000112,0.981033787,7.65896942e-12,0.125789652,0.125762106,0.157237076,1.90070556e-18,4.10895216e-15,7.97491005e-19,1.94388542e-14,0.591211163,2.27219123e-09,4.20974698e-13,8.10527574e-13,2.20107784e-19,6.12499138e-17,3.79122522e-24,1.94793084e-14,1.08499362e-12,1.90827903e-15,7.81860217e-13,4.04078072e-16,2.14966752e-13,2.20444911e-15,2.06364655e-14,-2.18388596e-19,-5.79252419e-15,3.63926437e-13,1.27843757e-14,2.78706006e-15,-2.03285492e-14,9.2099594e-16,-3.19994167e-18
0.0122727273,0.371044804,298.000595,0.981074806,5.15661236e-11,0.125795664,0.125720638,0.157244608,8.12005375e-18,9.85032891e-15,1.48444654e-18,1.74383641e-13,0.591239075,1.44610172e-08,2.9042687e-12,3.60063515e-12,-2.26991239e-18,-4.6223705e-18,-3.28663648e-23,1.32326747e-13,7.1847756e-12,2.76812787e-15,5.63508018e-12,2.68121087e-15,1.46255488e-12,1.70037382e-14,2.06027838e-14,-3.33825943e-17,-5.75608368e-15,3.07708941e-12,2.01481735e-13,4.53442657e-14,-1.83567487e-14,1.12363942e-14,-5.24298319e-17
0.0127272727,0.37099775,298.003788,0.981199239,4.24510316e-10,0.125814686,0.125589293,0.157268448,3.79542488e-17,4.81237999e-14,1.02817612e-17,1.22545326e-12,0.591327461,1.1194869e-07,2.38773376e-11,2.01062592e-11,2.08262964e-18,6.20169011e-17,2.72679771e-22,1.09922857e-12,5.91105513e-11,1.0576057e-14,4.66903182e-11,2.24351773e-14,1.36924837e-11,1.80257246e-13,2.06632638e-14,5.258471e-18,-4.76402585e-15,3.25985745e-11,1.51788987e-12,4.77052723e-13,-9.46172407e-16,1.4221376e-13,1.09450158e-17
