variant,rmse,mae,max_abs_error,peak_X_NH2
baseline,7.464989274244691e-05,3.650914039255247e-05,0.0002703171078379349,0.0009944398961557466
baseline_plus_OH,1.011304248021281e-05,5.08880206724319e-06,3.492184806702753e-05,0.0009422855003312149
