grid_m,normalized_grid,T_K,X_NH2,baseline,baseline_plus_OH
0.0,0.0,293.5,7.696886447951336e-15,2.8123410446605785e-36,2.7756167404024106e-13
0.00025,0.025,293.50000795073015,3.241056142000582e-14,2.812358180730181e-36,1.6200242693462654e-12
0.0005,0.05,293.50004246308134,9.93286894692691e-14,2.812416782808185e-36,3.502489242481056e-14
0.00075,0.075,293.50019053343016,3.7882443244442046e-13,2.8126252742845364e-36,2.308775320232634e-14
0.001,0.1,293.50081337139716,1.521163387905066e-12,2.81338790069891e-36,2.375190210256221e-14
0.00125,0.125,293.50336006568136,6.0545790263514205e-12,2.816210995647544e-36,2.5322920178849053e-14
0.001375,0.13749999999999998,293.507438991738,1.3120341148030214e-11,2.8204591679646987e-36,2.702665732548237e-14
0.0015,0.15,293.5173301125755,2.9844700084954663e-11,2.830394866125856e-36,3.56407968594645e-14
0.001625,0.1625,293.54083995645834,6.866301779196021e-11,2.853479519330414e-36,8.423646065597059e-14
0.00175,0.175,293.59549329797926,1.5684220148399475e-10,2.9067265601082925e-36,3.9626932133391e-13
0.0018125,0.18125,293.64881211927053,2.4122359139405176e-10,2.9589056822397413e-36,1.031933883964282e-12
0.001875,0.1875,293.7351505462496,3.757313373376558e-10,3.044636449666345e-36,2.8944207880457887e-12
0.0019375,0.19375,293.873627030688,5.881426163682817e-10,3.18626609409972e-36,8.33506178440348e-12
0.002,0.2,294.09351087134195,9.203112560886219e-10,3.423136690310433e-36,2.3748301474129025e-11
0.0020625,0.20625,294.43899533644117,1.4344950729772504e-09,3.82850453403675e-36,6.54454757333845e-11
0.002125,0.2125,294.9758024619145,2.222114429730433e-09,4.549962697391721e-36,1.743457432749702e-10
0.00215625,0.215625,295.3520389634212,2.768709803802417e-09,5.1313806255841744e-36,2.8730252297729107e-10
0.0021875,0.21875000000000006,295.82722903715785,3.4539236690942786e-09,5.968462843378985e-36,4.777902502927367e-10
0.00221875,0.221875,296.4250407623185,4.310197936714161e-09,7.210145167795889e-36,7.976926267247742e-10
0.0022500000000000003,0.22500000000000006,297.17403250094736,5.377018934249549e-09,9.121756243569737e-36,1.325453706522696e-09
0.0022812500000000003,0.228125,298.1084032992108,6.702478873249168e-09,1.2202626024607374e-35,2.1685465550776594e-09
0.0023125000000000003,0.23125000000000004,299.2687642016893,8.345313529328673e-09,1.7452524927574592e-35,3.457277793826231e-09
0.0023437500000000003,0.23437500000000006,300.70288982774133,1.0377640587285855e-08,2.7018440313937355e-35,5.334241451236023e-09
0.0023750000000000004,0.23750000000000004,302.46639266459636,1.2888734225654676e-08,4.589026430202268e-35,7.962906300322511e-09
0.0024062500000000004,0.24062500000000006,304.6232440604772,1.5990321125489926e-08,8.674292039481672e-35,1.1569273251288467e-08
0.0024375000000000004,0.24375000000000005,307.24604816972067,1.9824071998097246e-08,1.8512807917343917e-34,1.64844017559136e-08
0.0024687500000000005,0.24687500000000004,310.415961864136,2.4572183859899552e-08,4.5229258798458906e-34,2.3159935847070094e-08
0.0025,0.25,314.2221500246046,3.0472184930374996e-08,1.2802938096279165e-33,3.218114745261174e-08
0.00253125,0.25312499999999993,318.76067757580364,3.7837322248993084e-08,4.237504459810497e-33,4.4299329445832854e-08
0.0025625,0.25625,324.1327723869165,4.708409002027098e-08,1.648356302342539e-32,6.047249774628088e-08
0.00259375,0.259375,330.44244916755014,5.876862191636809e-08,7.539849946514118e-32,8.19028335540187e-08
0.002625,0.2625,337.7935609194023,7.363384469628062e-08,4.040078715472415e-31,1.1006429986247413e-07
0.00265625,0.26562499999999994,346.28643164526113,9.26695892667046e-08,2.5180698795902794e-30,1.467066204796338e-07
