row_index,grid_m,normalized_grid,T_K,X_NH2_qssa,Y_NH2_qssa,solver_success,solver_message
31,0.002625,0.2625,337.7935609194023,1.1006429986247412e-07,8.760490444087054e-08,True,The solver successfully reached the end of the integration interval.
32,0.00265625,0.26562499999999994,346.28643164526113,1.467066204796338e-07,1.1646365646829893e-07,True,The solver successfully reached the end of the integration interval.
33,0.0026875,0.26875,356.01430569567964,1.9381131356791337e-07,1.5343325157711315e-07,True,The solver successfully reached the end of the integration interval.
34,0.00271875,0.271875,367.0599060368407,2.53462403401771e-07,2.00078821271627e-07,True,The solver successfully reached the end of the integration interval.
35,0.00275,0.275,379.4924091126189,3.275796622430227e-07,2.578142774747566e-07,True,The solver successfully reached the end of the integration interval.
36,0.00278125,0.278125,393.3651097938246,4.1744502763279527e-07,3.275332965297969e-07,True,The solver successfully reached the end of the integration interval.
37,0.0028125,0.28125,408.7139705055588,5.229277278324315e-07,4.0901231975947714e-07,True,The solver successfully reached the end of the integration interval.
38,0.002828125,0.2828125,416.95764771745985,5.831603161007527e-07,4.553941074106909e-07,True,The solver successfully reached the end of the integration interval.
39,0.00284375,0.284375,425.5879631270671,6.469259228289175e-07,5.043765870140903e-07,True,The solver successfully reached the end of the integration interval.
40,0.002859375,0.2859375,434.60447953910455,7.133390595484872e-07,5.552577080347296e-07,True,The solver successfully reached the end of the integration interval.
41,0.002875,0.2875,444.00566305976173,7.811390974363742e-07,6.07048732234463e-07,True,The solver successfully reached the end of the integration interval.
42,0.002890625,0.2890625,453.7889462695372,8.487442704430932e-07,6.585184884277223e-07,True,The solver successfully reached the end of the integration interval.
43,0.00290625,0.290625,463.9508002186685,9.143745292665078e-07,7.082904800887301e-07,True,The solver successfully reached the end of the integration interval.
44,0.002921875,0.2921875,474.4868130159964,9.763192585457751e-07,7.550510066126267e-07,True,The solver successfully reached the end of the integration interval.
45,0.0029375,0.29375,485.3917728018355,1.0334319284099708e-06,7.979304019405131e-07,True,The solver successfully reached the end of the integration interval.
46,0.002953125,0.2953125,496.6597529730194,1.0858978748138493e-06,8.370910803600519e-07,True,The solver successfully reached the end of the integration interval.
47,0.00296875,0.296875,508.2841976522219,1.136068501221806e-06,8.743610828675837e-07,True,The solver successfully reached the end of the integration interval.
48,0.002984375,0.2984375,520.2580055518343,1.1888667747559792e-06,9.13532327197178e-07,True,The solver successfully reached the end of the integration interval.
49,0.003,0.3,532.5736105634393,1.2514743483659565e-06,9.601051887192643e-07,True,The solver successfully reached the end of the integration interval.
50,0.003015625,0.3015625,545.223057596183,1.3324894632956195e-06,1.020630395399253e-06,True,The solver successfully reached the end of the integration interval.
51,0.00303125,0.303125,558.1980723819,1.4410741395501006e-06,1.1020491000798852e-06,True,The solver successfully reached the end of the integration interval.
52,0.003046875,0.3046875,571.4901241560627,1.586696899952278e-06,1.2114940543139504e-06,True,The solver successfully reached the end of the integration interval.
53,0.0030625,0.30625,585.0904803103938,1.779650621705923e-06,1.356683911697774e-06,True,The solver successfully reached the end of the integration interval.
54,0.003078125,0.3078125,598.9902522990468,2.0320107309313745e-06,1.5466496326078154e-06,True,The solver successfully reached the end of the integration interval.
55,0.00309375,0.309375,613.180432273949,2.358620119524385e-06,1.7924753740023027e-06,True,The solver successfully reached the end of the integration interval.
56,0.003109375,0.31093750000000003,627.6519201379966,2.7778531303346468e-06,2.1078661048820155e-06,True,The solver successfully reached the end of the integration interval.
57,0.003125,0.3125,642.3955409514915,3.3119690594681758e-06,2.5094002611184144e-06,True,The solver successfully reached the end of the integration interval.
58,0.003140625,0.3140625,657.4020529213279,3.986776701949776e-06,3.0162595021616783e-06,True,The solver successfully reached the end of the integration interval.
59,0.0031484375,0.31484375000000003,665.0012195381248,4.39152683453937e-06,3.3200708665110185e-06,True,The solver successfully reached the end of the integration interval.
60,0.00315625,0.315625,672.6632325772433,4.842917038963112e-06,3.65870620269026e-06,True,The solver successfully reached the end of the integration interval.
61,0.0031640625,0.31640625,680.3868956605073,5.344722220801888e-06,4.034948209519863e-06,True,The solver successfully reached the end of the integration interval.
62,0.003171875,0.3171875,688.1710065002627,5.900698400898264e-06,4.451558241318396e-06,True,The solver successfully reached the end of the integration interval.
63,0.0031796875,0.31796875,696.0143562123798,6.514600467538324e-06,4.91128966921041e-06,True,The solver successfully reached the end of the integration interval.
64,0.0031875,0.31875000000000003,703.9157285850991,7.190243432407007e-06,5.416934026642183e-06,True,The solver successfully reached the end of the integration interval.
65,0.0031953125,0.31953125000000004,711.8738993199026,7.931594796474339e-06,5.9713904837345195e-06,True,The solver successfully reached the end of the integration interval.
66,0.003203125,0.3203125,719.8876352627533,8.742877645189405e-06,6.577743196951195e-06,True,The solver successfully reached the end of the integration interval.
