row_index,grid_m,normalized_grid,T_K,X_NH2_qssa,Y_NH2_qssa,solver_success,solver_message
46,0.002953125,0.2953125,496.6597529730194,5.655716080640747e-21,4.360050810605853e-21,True,The solver successfully reached the end of the integration interval.
47,0.00296875,0.296875,508.2841976522219,1.728702340221127e-20,1.3305543558614291e-20,True,The solver successfully reached the end of the integration interval.
48,0.002984375,0.2984375,520.2580055518343,5.177198036520271e-20,3.9785060297465386e-20,True,The solver successfully reached the end of the integration interval.
49,0.003,0.3,532.5736105634393,1.5171472837896782e-19,1.1640477095538713e-19,True,The solver successfully reached the end of the integration interval.
50,0.003015625,0.3015625,545.223057596183,4.34595069256919e-19,3.3292857397217515e-19,True,The solver successfully reached the end of the integration interval.
51,0.00303125,0.303125,558.1980723819,1.2161554945205753e-18,9.302174753230978e-19,True,The solver successfully reached the end of the integration interval.
52,0.003046875,0.3046875,571.4901241560627,3.3237844053090896e-18,2.538420597626628e-18,True,The solver successfully reached the end of the integration interval.
53,0.0030625,0.30625,585.0904803103938,8.87345261026348e-18,6.766518354746788e-18,True,The solver successfully reached the end of the integration interval.
54,0.003078125,0.3078125,598.9902522990468,2.3155234542287598e-17,1.763073833076435e-17,True,The solver successfully reached the end of the integration interval.
55,0.00309375,0.309375,613.180432273949,5.913032146077911e-17,4.4955955317629065e-17,True,The solver successfully reached the end of the integration interval.
56,0.003109375,0.31093750000000003,627.6519201379966,1.4802466268913008e-16,1.1237608149874737e-16,True,The solver successfully reached the end of the integration interval.
57,0.003125,0.3125,642.3955409514915,3.6412269106545743e-16,2.7603083679138466e-16,True,The solver successfully reached the end of the integration interval.
58,0.003140625,0.3140625,657.4020529213279,8.827810769952142e-16,6.682519400349906e-16,True,The solver successfully reached the end of the integration interval.
59,0.0031484375,0.31484375000000003,665.0012195381248,1.368532773882505e-15,1.035218558594305e-15,True,The solver successfully reached the end of the integration interval.
60,0.00315625,0.315625,672.6632325772433,2.1168697221413196e-15,1.6001565510581774e-15,True,The solver successfully reached the end of the integration interval.
61,0.0031640625,0.31640625,680.3868956605073,3.26884914037335e-15,2.4692017517561496e-15,True,The solver successfully reached the end of the integration interval.
62,0.003171875,0.3171875,688.1710065002627,5.0418501550937045e-15,3.805807721649794e-15,True,The solver successfully reached the end of the integration interval.
63,0.0031796875,0.31796875,696.0143562123798,7.771696160855064e-15,5.862323495195276e-15,True,The solver successfully reached the end of the integration interval.
64,0.0031875,0.31875000000000003,703.9157285850991,1.1978826323378896e-14,9.029571302705736e-15,True,The solver successfully reached the end of the integration interval.
65,0.0031953125,0.31953125000000004,711.8738993199026,1.847290408626816e-14,1.3915177910163014e-14,True,The solver successfully reached the end of the integration interval.
