Y_H,Y_H2,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_CO,Y_CO2,Y_HE,Y_HCO,Y_OHEX,Y_N,Y_NO,Y_NO2,Y_N2O,Y_NH3,Y_HNO,Y_H2NO,Y_NNH,Y_NH2,Y_NH,Y_N2H2,Y_N2H3,Y_N2H4,Y_H2NN,Y_HONO,Y_HNOH,Y_HNO2,Y_HONO2,Y_NO3,Y_HON,Y_N2,Y_AR,MF,CEM,HRR,T
4.587605707937327e-08,2.07371359821452e-05,2.245444479396536e-06,0.232369309180293,9.00443199918262e-05,0.0102555094838958,4.1392195740876076e-05,0.0020600141093047287,0.0,0.0,0.0,0.0,3.967788443389939e-23,4.9611025877205e-09,5.275727347522085e-07,1.616668192478961e-05,0.003993568777010796,0.0002344566637881,1.828494833018862e-08,3.7540702584306477e-06,1.2216286657621173e-13,2.7334871798677793e-06,1.5158624228916285e-08,1.7597702988718672e-07,3.659141317410581e-10,2.7413886744303187e-08,6.011812294243903e-17,6.397772012192898e-07,2.7993372480564554e-16,5.702086115011104e-14,0.0014608198986851395,7.86603898760128e-06,9.864073135437652e-07,0.7570299432160491,0.0,0.0,-5.891792493113689,303292538.90387,299.190022851704
4.9974466754585427e-08,1.79200622729013e-05,2.345910888921438e-06,0.232420262564471,9.11075045619659e-05,0.0102097636221987,4.0719650692079416e-05,0.0019969089992483554,0.0,0.0,0.0,0.0,4.6324796383534824e-23,4.775795256119594e-09,5.342117019144226e-07,1.666691520814495e-05,0.003607921949973014,0.0002080762254184,1.7186499941014038e-08,3.355435536044261e-06,1.0717339884818415e-13,2.5341496793641237e-06,1.4370696460664623e-08,1.511423701326546e-07,3.021522724119431e-10,2.292713630184121e-08,5.393683250490109e-17,6.358471083984371e-07,2.724942427197055e-16,6.068965097634812e-14,0.0014932923847237084,7.961109771850713e-06,8.824828781936059e-07,0.7570528700210771,0.0,0.0,-5.883394017438883,299190247.047522,300.752261792634
4.9318711651952416e-08,1.88617091301688e-05,2.326007170419309e-06,0.232588162066397,8.972399778752099e-05,0.010214195611409,3.8962843839971454e-05,0.0018809189552830383,0.0,0.0,0.0,0.0,4.852425643434289e-23,4.810231553273346e-09,5.482976760865953e-07,1.673713978958148e-05,0.0035473790520945837,0.0001973715531932,1.742474898889221e-08,3.3216028545925335e-06,1.0803159847717041e-13,2.5242609499819736e-06,1.4608542314159529e-08,1.5363969024945076e-07,3.263857150048462e-10,2.288565443252582e-08,6.050486744053569e-17,6.464609635551329e-07,2.997368310716156e-16,6.42195644715738e-14,0.0015034702441362616,7.901209555266133e-06,8.471105800973928e-07,0.756891685062083,0.0,0.0,-5.859055539559517,277906095.698313,302.873721245693
4.6935471435173484e-08,1.88268214950906e-05,2.22822527330132e-06,0.2323011477793,8.757765659627109e-05,0.0105328254517084,3.555127017163956e-05,0.0016647578708475484,0.0,0.0,0.0,0.0,5.153004341153403e-23,5.43372902613385e-09,6.277623014690484e-07,1.6976232497117324e-05,0.004109139444940076,0.000203324128118,2.0784082448354175e-08,3.8749986893447585e-06,1.4424986090085261e-13,2.8990268686819265e-06,1.737393526042297e-08,2.102749734687583e-07,5.291626679587904e-10,3.031652803672255e-08,1.0896604800611926e-16,7.210917325915383e-07,4.531550287974042e-16,7.287527665368707e-14,0.0015335035334029178,7.795013960033691e-06,9.017565482317145e-07,0.756856298162782,0.0,0.0,-5.811636196854474,240364207.9222114,307.637531632728
4.2485699301284233e-08,2.14303473657135e-05,2.0150618974063278e-06,0.23143287545891,8.511498935340259e-05,0.0117790748919692,2.957675804509992e-05,0.0013017970536426415,0.0,0.0,0.0,0.0,5.933017528065242e-23,7.3130533891587884e-09,8.947991441072661e-07,1.7539796981732345e-05,0.006054095601223212,0.0002289118600906,3.252511438403277e-08,5.889139049595048e-06,3.043982010559614e-13,4.1622474739759525e-06,2.671663284039185e-08,4.551318503837033e-07,1.703156056286411e-09,6.140357481171136e-08,4.98448838012844e-16,9.634838956362644e-07,1.420572525958486e-15,9.65751357652686e-14,0.0016015247845829062,7.538596845765232e-06,1.1155496772314575e-06,0.7564525924523109,0.0,0.0,-5.740018644677238,182795449.5777672,318.80729625232897
2.566563497402482e-08,5.53126998506658e-05,1.3457094739194835e-06,0.2313877247287289,8.609848707782171e-05,0.0130838061086944,2.4169336176452583e-05,0.0010630143567377575,0.0,0.0,0.0,0.0,3.343972880331292e-23,1.154625509958631e-08,1.7480307105065435e-06,1.635576200290887e-05,0.013241072250321909,0.0003944205386691,8.424505885317976e-08,1.8114695110557218e-05,1.4454156387373816e-12,9.373126182738127e-06,5.826141593593476e-08,2.188703693410892e-06,1.978223559488707e-08,2.949167640918005e-07,1.1689898780176742e-14,1.7016804876272768e-06,1.550027013336023e-14,1.0832577031590274e-13,0.0015047846136328957,6.462435520602033e-06,2.12545296780585e-06,0.7549926374369781,0.0,0.0,-5.736262494566977,148072030.6839415,330.32137005245204
5.634843922221536e-09,5.85677217694567e-05,8.154612697776136e-07,0.230466848462506,8.26593657404708e-05,0.0146803882449502,1.785246013616935e-05,0.0007581572251104741,0.0,0.0,0.0,0.0,7.081478721286165e-24,1.3747889120720316e-08,3.083054171190803e-06,1.8280017808750193e-05,0.020128709970707103,0.0004291494594811,1.7118564148180576e-07,3.980741720320603e-05,3.803419456097478e-12,1.38522420551048e-05,8.77826365598868e-08,5.896482233752213e-06,3.062490033027502e-07,6.244061297118183e-07,4.027370915532104e-13,2.673986451666368e-06,3.4940626534268033e-13,1.639595868452188e-13,0.0016902351453133462,6.366729902887534e-06,2.447332779984759e-06,0.754282386745553,0.0,0.0,-5.739510177184249,102172240.09201768,348.05913683833603
1.9924652752957204e-09,5.18155912277563e-05,2.179102603980923e-07,0.228652553915735,7.914767487387901e-05,0.0167199288943966,1.6788936727474744e-05,0.000524819820878393,0.0,0.0,0.0,0.0,1.1126760223969631e-24,1.3715982451869602e-08,5.133303653895787e-06,5.5239828944682947e-05,0.03430387595901032,0.0004276045513541,4.4992512486914453e-07,0.00018688284416072147,4.924693875173219e-12,1.1697620075231297e-05,8.598854008830256e-08,7.714180880596133e-06,9.546497169449526e-07,4.30476127328055e-07,2.437169799977811e-12,4.119881106213072e-06,2.2900859368828983e-12,9.064719250046318e-13,0.005045441532834113,1.6292270964351423e-05,2.2129264732004358e-06,0.754068949372413,0.0,0.0,-5.631602394398756,83299590.50877658,369.12514024497
6.5358046954317465e-09,5.12884231235626e-05,2.4253944207295603e-08,0.226393559689225,7.418374197374879e-05,0.0195291344026242,5.396820505359579e-05,0.00032355823752230987,0.0,0.0,0.0,0.0,8.534159421260394e-25,5.74629915451657e-09,1.9413775959566957e-06,0.0005200347074025478,0.05593321507484066,0.0004288315228979,1.2070087056269524e-06,0.0015920392113524713,2.0247295546490888e-13,2.2241139219996543e-06,2.5032546156744976e-08,2.771998959018155e-07,2.0230241979640174e-08,1.5481135410412647e-08,2.852262613683652e-14,6.074684528430863e-06,1.720480227600432e-13,7.133114331936528e-11,0.04621736948886139,0.00013979920653557222,1.617481755447348e-06,0.7535230022201559,0.0,0.0,-6.453344124179609,171060939.92196432,401.39436961284
8.397244928727228e-09,4.7390245160623714e-05,2.6509204341475928e-08,0.223278662072201,7.11465302537006e-05,0.0229423059051453,6.339596000237005e-05,0.00022095876471871554,0.0,0.0,0.0,0.0,2.2767373118521014e-24,4.999706871349695e-09,2.4498069437635237e-06,0.0007451808276106297,0.058690129241167295,0.000421657910519,1.844178825120907e-06,0.0014635728881656584,1.8548023506214295e-13,1.8991998133956025e-06,2.493254967846071e-08,2.216177735481888e-07,1.9883398273742862e-08,1.055617670024752e-08,3.793251480734931e-14,1.4475754168420979e-05,3.3816515631131733e-13,2.7595843847327086e-10,0.06436691097041496,0.00016886754750956712,1.6517066980966108e-06,0.7532388373367199,0.0,0.0,-6.257213224816482,162811519.09666675,435.952448306898
