Y_NO,Y_NH3,Y_H2,Y_O2,Y_H,Y_O,Y_OH,Y_HO2,Y_N2,Y_H2O,Y_H2O2,Y_NH2,Y_NH,Y_N,Y_NNH,Y_NH2OH,Y_H2NO,Y_HNOH,Y_HNO,Y_HON,Y_NO2,Y_HONO,Y_HNO2,Y_NO3,Y_HONO2,Y_N2O,Y_N2H4,Y_N2H3,Y_N2H2,Y_H2NN,Y_AR,MF,CEM,HRR,T
5.681807263952245e-07,0.0004395630964517,5.35036848490184e-05,0.21910072586503,7.092849296158271e-09,1.505212285848797e-07,7.04309604534273e-05,0.00017080847299400792,0.753320005230913,0.0270157711623026,0.00034195427415966876,3.5648661451570456e-07,5.543143095224133e-10,6.12858793825813e-12,2.4835775219769004e-14,4.862657185957698e-07,1.0861550051027784e-06,1.752204561102141e-07,3.3676503311933182e-06,1.1592367675461917e-06,0.003071081318266167,1.1642696680060073e-06,7.874971493893677e-07,0.0005451860977327294,0.27090530363502413,0.08019503834684764,9.805816537876702e-10,5.933954953816261e-10,8.407651931366195e-11,1.3275757153996338e-09,0.0,0.0,-5.792234514782729,235951433.30537122,482.838273805636
9.400929064229274e-07,0.0004044879007591,4.78599054963889e-05,0.213842096664604,8.359571943264313e-09,1.320896993299004e-07,6.851730996305511e-05,0.00017187626434341828,0.7538773723238701,0.0317596658953073,0.0003044620354622082,3.8395278565170094e-07,5.703485048843229e-10,5.7509850369894824e-12,2.1483741210882468e-14,4.087570837781908e-07,1.2409657011549118e-06,1.075233779944716e-07,3.872591052654769e-06,1.4349862561050814e-06,0.0036388715999436804,1.931551645677828e-06,1.9879410597886313e-06,0.0004968106477351508,0.2889053082395514,0.08599431218064661,1.0220024311689225e-09,6.006389211387002e-10,1.610973873081398e-10,9.14092637758039e-10,0.0,0.0,-5.722542691300338,178751135.93430445,534.148089326359
1.7547462504047665e-06,0.0004407411852852,5.3693599405841e-05,0.207587788533471,9.771169961366625e-09,1.0718602976257765e-07,7.05964829158342e-05,0.00017869202142197733,0.75456184065061,0.0372853395483109,0.00029121393664601733,4.136449220721068e-07,5.274924027928997e-10,4.3905589733240045e-12,2.1638296612237903e-14,3.116348026709689e-07,1.5420041511135028e-06,5.673334232628126e-08,4.818376241944897e-06,1.795722864285709e-06,0.004899302506007869,4.256079549730673e-06,5.3228624254729805e-06,0.0004745966475371477,0.3298946242473717,0.10194253801047418,1.033041429267403e-09,6.035934179756583e-10,3.801044506372685e-10,5.786635194135797e-10,0.0,0.0,-5.706464525178092,140851222.33463404,594.125862679608
3.4395091802975785e-06,0.0005572328903771,8.89831642043869e-05,0.200945568724773,1.3514065100938877e-08,7.815956168176986e-08,7.47300727398298e-05,0.0001830209561096307,0.754921002169514,0.0434124829783913,0.00028936376032290257,4.345863327079571e-07,4.4261722950005745e-10,2.837544587599964e-12,2.9858545281512425e-14,2.2549297752670143e-07,1.9659339446559127e-06,2.7591686403031156e-08,5.955586271332452e-06,2.1850550893815435e-06,0.006871194575457102,1.145567559826471e-05,7.4066574573574554e-06,0.0004540929215028081,0.3877629315832379,0.1277265826422927,1.0448209645125013e-09,7.030637831315482e-10,1.1555733936268216e-09,4.2167174521332923e-10,0.0,0.0,-5.594130158573504,109327231.6708991,657.36357617503
0.00040115258300052123,0.0007528116279322,0.0001369664283588,0.192267042722632,1.5718108007940001e-06,2.7438753272590566e-06,8.810597099409109e-05,9.794432487907837e-06,0.755769867327922,0.0509852059221609,1.5049372882806993e-05,2.582853664489281e-05,1.873033891710566e-07,3.123738833670202e-09,1.361739930676453e-10,6.83272145232698e-06,2.6450795785003162e-06,2.3751019187527547e-06,8.985501670378155e-06,6.180160744397219e-06,0.00020163497394197634,2.397143898789282e-05,7.376169368569233e-09,1.1986141004320446e-06,0.008182662923332437,0.2233889270931661,1.4818925360789888e-06,7.585451003022155e-07,3.117855017314848e-08,1.1713256300239654e-06,0.0,0.0,-5.584484460050871,46805237.66300654,737.4700712729939
0.0004802088219842763,0.0012287784554197,0.0002157643944262,0.1878171029528889,7.0169390301870715e-06,3.572403131260366e-06,0.0001003913162734,1.73979540072865e-05,0.754739970328801,0.0558979925521907,1.2197053607641447e-05,6.058144246284274e-05,5.504682413520112e-07,1.695210224936993e-08,2.738862141074203e-10,8.901820330128867e-06,4.552096894876361e-06,1.9041539040376743e-06,1.557946988536101e-05,1.8378532453523464e-05,5.8679752656106465e-05,1.5004285147663556e-05,5.0401838546554865e-09,1.234825443503247e-07,0.000814817901287279,0.16905989389618303,4.471608338296474e-06,2.2473307488985455e-06,8.56223704288227e-08,2.578534128743041e-06,0.0,0.0013616527557732377,-5.770870430919118,102602080.88202767,792.775626143827
0.0007719218456703281,0.001389602656285,0.0002470444353809,0.17999057599664,1.9621603085951334e-05,8.048230598109413e-06,0.0001390359164066,2.6110466617984465e-05,0.755041593238045,0.0631921477572426,1.1696136957094179e-05,9.389457549701625e-05,1.0974541244382857e-06,5.2324318698426424e-08,5.927473604439514e-10,8.412758543384767e-06,6.364987021876588e-06,1.5402397583226127e-06,2.285708668717608e-05,3.950316906571584e-05,4.437612285660783e-05,1.5310588013197884e-05,7.615135110346384e-09,1.4796848896468872e-08,9.70611743675337e-05,0.12086920664952021,5.296315873262411e-06,3.0852076263511566e-06,1.9692891682383138e-07,2.971019012482683e-06,0.0,0.011658764736253767,-5.937173969924084,211121043.46322587,869.127547531188
0.0013646016754379233,0.0014264933644579,0.0002462863860942,0.1709779130079859,5.151939416910429e-05,2.3612437145790636e-05,0.0002201898727468,3.517880223530075e-05,0.756116400631385,0.0710127167373307,1.0704472447875375e-05,0.00013298975921945648,2.1460697563737982e-06,1.5605415605542005e-07,1.2998492031378095e-09,7.173579996872054e-06,6.6827760293794944e-06,1.2184677464197478e-06,3.040549868957228e-05,7.152207384337229e-05,3.716559347840367e-05,1.7565874855478428e-05,1.2777802737087345e-08,3.351977152077468e-09,1.3239260424717738e-05,0.061869289830886395,4.489630807204154e-06,3.3608527840433915e-06,3.8473944622705395e-07,2.8172664690064467e-06,0.0,0.024677541848532117,-6.232729372467546,450767529.43038183,949.403105973347
0.0029643395055275142,0.0014349446583295,0.0002212907149051,0.16097609952754,0.00013270912505435116,8.070026036185136e-05,0.0003971101468285,3.884399224405031e-05,0.7569035065042029,0.0800670484481938,8.881063215303115e-06,0.00016240739477700313,3.5082528079069728e-06,3.591167217063185e-07,2.928448164438276e-09,4.823665662205729e-06,4.583474010373266e-06,7.562410183249714e-07,3.927788365511944e-05,9.341104606542742e-05,3.42148048554457e-05,2.3473422422557824e-05,2.4995593273881245e-08,2.120169018519179e-09,2.0999896587241807e-06,0.03293889887387856,2.412826572357721e-06,2.502588610353323e-06,5.876001786249748e-07,1.7150205200421913e-06,0.0,0.034046078297739826,-6.646159689447151,954145485.572271,1044.6428935433698
0.007901147302158596,0.001519987814169,0.0001957367283935,0.1503699882877909,0.0003233516731377918,0.00026049424064490673,0.0007787680285875,3.506887250630963e-05,0.7565744506245491,0.0905610685165098,8.54834846005597e-06,0.00017992987929363636,4.558163732749146e-06,5.388097104598906e-07,7.488179329545437e-09,2.8557174113605207e-06,2.2352639555005806e-06,4.0993528562200994e-07,5.2703957918943684e-05,9.205109098415389e-05,3.929145552685366e-05,3.795233524577843e-05,5.716875985723552e-08,2.2314127122056222e-09,5.486543005479617e-07,0.019336356008289,9.765548859208782e-07,1.2845837527677527e-06,6.694444082507444e-07,7.051965132117515e-07,0.0,0.04071259682231955,-6.98817842699059,2168310593.121487,1149.96176077417
