Y_AR,Y_N2,Y_H,Y_H2,Y_HE,Y_O,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_O2,Y_CO,Y_CO2,Y_HCO,Y_HOCO,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_N2H2,Y_N2H3,Y_N2H4,Y_H2NN,Y_NO,Y_N2O,Y_NO2,Y_HNO,Y_HON,Y_HONO,Y_H2NO,Y_HNOH,Y_NH2OH,Y_HNO2,Y_HONO2,Y_NO3,MF,CEM,HRR,T
0.0,0.6915590152569949,0.0007739719545747193,0.0175169601181973,0.0,1.1981969266801777e-05,0.0002809466320357,0.0807793357469049,2.992025269104077e-05,9.244117885835084e-06,0.0944248452915801,0.0,0.0,0.0,0.0,2.734020403743605e-06,4.305466117010928e-05,0.002038182561541259,0.115438896954287,1.2904388843751027e-07,4.538887800898115e-05,9.7460000741406e-06,0.0010994921978513175,3.118823565646051e-06,0.0003488079162318234,0.008155726588973563,7.179994019462459e-07,3.76167901012992e-05,2.1783108170744095e-10,8.884470198605942e-06,8.174209055612764e-05,2.5541764779985563e-06,0.00010463369836102516,1.4826021747552283e-09,6.588876673316696e-07,0.0,0.23594927367229918,-6.88220376001764,20247573901.474384,913.3309678293
0.0,0.686556253122959,0.0005832952755697524,0.018325736265378,0.0,6.954997672220919e-06,0.0002347692143205,0.0751227979838148,2.0474056667371093e-05,7.338209476168712e-06,0.0988886425180296,0.0,0.0,0.0,0.0,1.5371001877384654e-06,2.9828111277350984e-05,0.0018572038612389475,0.120871800895498,6.216993482838742e-08,4.276972335254856e-05,8.160704532393002e-06,0.0011953094452886546,3.0342867083278665e-06,0.00021157046512057683,0.007531304137075136,4.776221613524515e-07,2.8330179369438015e-05,1.0071733845062828e-10,4.974658681519839e-06,6.850006654705137e-05,2.1351405061542505e-06,9.645849683120529e-05,8.585594770911301e-10,8.520612116086249e-07,0.0,0.24155092029517866,-6.766807181367813,19728511478.91437,865.8285697797528
0.0,0.682534281167385,0.00029633886919508,0.0189258618732596,0.0,2.9244886119767853e-06,0.0001914511781495,0.0684793900531016,1.4948345848382134e-05,9.880842995888283e-06,0.104057023676321,0.0,0.0,0.0,0.0,4.995516816440039e-07,1.5769882224151376e-05,0.0015693470873576875,0.125811992051783,3.262294403772724e-08,4.318383819763049e-05,7.454123229392594e-06,0.0015437939739855878,5.089730545358655e-06,0.00012341683732289022,0.007667725570059085,6.747012430607703e-07,2.4014726127931184e-05,4.7652886143973503e-11,3.913360305782813e-06,8.196813721076418e-05,2.613015593316446e-06,0.0001168421113565142,6.319172787673289e-10,3.664964826469061e-06,0.0,0.24509564842282536,-6.537861696733874,15306687375.483881,817.302085293806
0.0,0.679091997791258,0.00012357403435326022,0.019354047429806,0.0,1.1135942500993493e-06,0.0001606738656523,0.0609267117307801,8.711791430637938e-06,1.242409797819132e-05,0.109220519986655,0.0,0.0,0.0,0.0,1.4045528278270811e-07,8.286491713449168e-06,0.0013598833579751672,0.131246049195848,1.9408058265237997e-08,5.269442574978106e-05,7.545426416575265e-06,0.001975386929960336,1.0752835630423469e-05,7.656604249256632e-05,0.011224004598383444,1.5284878260868628e-06,2.1749607342747632e-05,2.101235921775365e-11,3.280936363881069e-06,9.532175715760821e-05,3.3292597089593847e-06,0.00014714415140279388,4.988230567297818e-10,2.4515741896484644e-05,0.0,0.24602400959794787,-6.493473379184221,11977627445.593527,763.697169473598
0.0,0.674383393638424,4.703606785214431e-05,0.0200016185461535,0.0,5.270679641904847e-07,0.0001367671065477,0.0543903535977619,4.5518970913313366e-06,1.3857443317628439e-05,0.114343843649072,0.0,0.0,0.0,0.0,4.53813931618874e-08,4.725000741739395e-06,0.0011612141105380822,0.136744023462041,1.318776688769218e-08,6.358237926146566e-05,7.44700494829354e-06,0.002235177790323411,2.084101407002516e-05,5.7479421320198866e-05,0.027894274560942352,3.6002681277977223e-06,2.0511743088656512e-05,1.0020007486606042e-11,3.2088787703967127e-06,0.00010489533803681617,3.963771688661187e-06,0.00017597790789214358,4.5419744121452827e-10,0.00010753809986494517,0.0,0.23887996823503704,-6.346194081494099,9076111420.443975,713.2109982532719
0.0,0.67032482143617,1.75654240424597e-05,0.0208143983722664,0.0,3.445476007692635e-07,0.0001258498204344,0.0486370012498203,2.3067810154222607e-06,1.521025856267943e-05,0.119631201595871,0.0,0.0,0.0,0.0,1.9223072845807343e-08,2.9744100144349226e-06,0.0009756414498358082,0.140466727525437,1.0168821611046068e-08,6.710511653165179e-05,7.202795419337855e-06,0.002197167168792583,3.5621996101712944e-05,5.121827374033443e-05,0.07715226926587887,6.665313546776776e-06,1.9611105187798947e-05,5.150828350419218e-12,3.697798696788748e-06,0.0001146048852282387,4.682935252015636e-06,0.0002007051587194478,4.402255499580582e-10,0.0002703692735102647,0.0,0.21039652516616317,-6.260309197503624,6591126012.338522,668.065191674807
0.0,0.6669160955493729,6.763332268251228e-06,0.021369587716919,0.0,2.4146158367071935e-07,0.0001126259181177,0.0432801372236032,1.2623271898535068e-06,1.577397627943983e-05,0.124096484914085,0.0,0.0,0.0,0.0,9.967749296119239e-09,1.976837579140318e-06,0.0008041910411116203,0.1442250686779019,8.027968007464243e-09,5.7817766601333044e-05,6.665193240415123e-06,0.0020831092424446777,4.854878125564472e-05,4.809345598415853e-05,0.13721627017459057,9.081587723580439e-06,1.918481566710648e-05,2.7165491383148493e-12,4.3087951834989364e-06,0.0001267059418400692,5.060240796502977e-06,0.00021377267064877137,4.1953451040292363e-10,0.00044704927288712764,0.0,0.17785846733097355,-6.2220808504568135,4471465907.375301,632.580237087193
0.0,0.66430884952686,2.372652161899983e-06,0.0217349823543196,0.0,1.8461804098772587e-07,0.000106298748302,0.0388136264340919,7.261158419784325e-07,1.7896875416047133e-05,0.127182237301095,0.0,0.0,0.0,0.0,5.9813470693179195e-09,1.3811552543103475e-06,0.0006659006200737483,0.147854005635331,7.128936060715402e-09,4.623980347623951e-05,6.48505757738059e-06,0.001906180823482214,6.611656461427505e-05,4.771345550500445e-05,0.2003083367564282,1.105074450685369e-05,1.9159061224979023e-05,1.3156138280142965e-12,5.42404447610735e-06,0.00014810515836900443,5.7561454461342265e-06,0.00022894113305617727,3.994742378886001e-10,0.000648500431937592,0.0,0.14706034917699226,-6.205972037019666,3124611868.651283,596.7671730296489
0.0,0.662014645475352,9.537891558433744e-07,0.0221689995026952,0.0,1.489701638513278e-07,0.0001011135021699,0.0348992220356421,5.329331049795742e-07,2.0792546875153686e-05,0.129882364612932,0.0,0.0,0.0,0.0,4.150717069293211e-09,1.0297812325311095e-06,0.0005639140599174392,0.150933654871208,6.712553211064581e-09,3.64554164491288e-05,6.23971983129402e-06,0.001733278542327215,8.162484598150709e-05,4.7868016220229224e-05,0.24186419628748032,1.2092716790957495e-05,1.9044236252520577e-05,6.742469039265153e-13,6.671980129812628e-06,0.0001701815812592031,6.451618516901338e-06,0.0002382557853197235,3.8356562332631884e-10,0.0008163931423130796,0.0,0.12890809750649282,-6.201943665516763,2373997430.484449,567.886007684449
0.0,0.658485831508832,2.8000170610915604e-07,0.0227017430604446,0.0,1.2079450655456637e-07,9.80131128857668e-05,0.0308377690444816,4.4451028234355727e-07,2.7128466885941368e-05,0.134157485418289,0.0,0.0,0.0,0.0,2.8732794954762614e-09,7.420443873747098e-07,0.00046584309076690264,0.153719157855068,6.634335545269923e-09,2.7612057757367268e-05,6.173969196544915e-06,0.0014984802682740646,0.00010693178076611097,4.865586424106617e-05,0.2753811485048152,1.2794902858413967e-05,1.8463777040250882e-05,2.397173804991206e-13,8.608380318280718e-06,0.0002033422324281959,7.71325897473978e-06,0.00024593832723876025,3.6350869634108936e-10,0.0009943164461791308,0.0,0.11481399141313464,-6.210778584691442,1848309269.6347485,529.968769194052
