Y_AR,Y_N2,Y_H,Y_H2,Y_HE,Y_O,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_O2,Y_CO,Y_CO2,Y_HCO,Y_HOCO,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_N2H2,Y_N2H3,Y_N2H4,Y_H2NN,Y_NO,Y_N2O,Y_NO2,Y_HNO,Y_HON,Y_HONO,Y_H2NO,Y_HNOH,Y_NH2OH,Y_HNO2,Y_HONO2,Y_NO3,MF,CEM,HRR,T
0.0,0.753320005230913,1.3930287077506364e-08,5.35036848490184e-05,0.0,2.4707633115605925e-07,7.04309604534273e-05,0.0270157711623026,0.00014299566020011692,0.00017120934825465438,0.21910072586503,0.0,0.0,0.0,0.0,7.742154718844674e-12,5.106144461867164e-10,3.890997572843642e-07,0.0004395630964517,4.775801137569629e-14,4.986357350706853e-10,3.753356216045604e-10,9.082250972506274e-10,1.2568594966618307e-09,6.495525138958488e-07,0.04025919610284222,0.002308567025999768,2.439228643619188e-06,1.26686073027939e-16,9.85574304670415e-06,1.417908570296948e-05,1.749012723793773e-07,2.456314132842641e-07,5.283847907441753e-09,0.188878012130219,0.0,0.0,-6.094129597346506,209637767.87170625,482.838273805636
0.0,0.7538773723238701,1.434139515881862e-08,4.78599054963889e-05,0.0,1.9094529579391364e-07,6.851730996305511e-05,0.0317596658953073,0.00015629072031146492,0.0001629901240600187,0.213842096664604,0.0,0.0,0.0,0.0,6.174254750000632e-12,4.804919170799452e-10,3.883222233457079e-07,0.0004044879007591,4.01511676711809e-14,4.1701866571255424e-10,3.1583653599812275e-10,8.429882939712553e-10,6.676712482378997e-10,1.0553959362482463e-06,0.048871311196392604,0.0030258104879404652,3.059668369248863e-06,2.358751908679371e-16,1.6062238117643207e-05,1.2269397654220366e-05,9.954364257976128e-08,2.0823393336615093e-07,1.899312755181481e-08,0.2253780363527021,0.0,0.0,-5.959046726265361,165658670.64495373,534.148089326359
0.0,0.75456184065061,1.5318227313382816e-08,5.3693599405841e-05,0.0,1.4100746903708265e-07,7.05964829158342e-05,0.0372853395483109,0.00017362729859277682,0.0001691438325641299,0.207587788533471,0.0,0.0,0.0,0.0,4.022588564807901e-12,4.033743275905152e-10,3.9952228544958555e-07,0.0004407411852852,4.9500767139312664e-14,5.853156567002782e-10,2.5412199410822035e-10,7.948843716387474e-10,3.3011671594770273e-10,1.9980154121332287e-06,0.06649018531645592,0.00441787170416039,4.1844910924173465e-06,4.296209465631868e-16,3.0441383889210732e-05,1.0930697285094761e-05,5.042615386015326e-08,1.651447568445497e-07,7.613994314591093e-08,0.2816557530387489,0.0,0.0,-5.941117842266569,135551005.95401764,594.125862679608
0.0,0.754921002169514,2.1942385919964075e-08,8.89831642043869e-05,0.0,1.0537863170383994e-07,7.47300727398298e-05,0.0434124829783913,0.00018226869459469228,0.0001781075451409209,0.200945568724773,0.0,0.0,0.0,0.0,2.80340513482743e-12,3.647639448768316e-10,4.4485135706686136e-07,0.0005572328903771,1.2160864782491838e-13,1.9638317551559983e-09,2.0597145860831631e-10,8.913091102184012e-10,1.8927765528382574e-10,4.2092852888789785e-06,0.09690095258514024,0.006250460427714839,5.868845519565054e-06,9.614052735714374e-16,6.206146743691567e-05,1.0566610364878704e-05,2.7690906973553262e-08,1.3773070956795386e-07,2.590352773833692e-07,0.33687215872881715,0.0,0.0,-5.958015709587169,107918895.53552313,657.36357617503
0.0,0.755769867327922,2.132389578915767e-06,0.0001369664283588,0.0,2.1229553588498704e-06,8.810597099409109e-05,0.0509852059221609,9.208535617387352e-06,3.2448390060874996e-05,0.192267042722632,0.0,0.0,0.0,0.0,5.326062900629809e-09,3.9416693102537846e-07,4.860066861034495e-05,0.0007528116279322,3.5719913030082545e-10,3.478157735298245e-06,7.669356844931403e-07,4.240666960177694e-06,1.4442577195899493e-06,0.00018975104053548612,0.0784323646696955,5.715028408847262e-05,5.329783395810616e-06,1.841916988492842e-12,3.2431539837996925e-05,9.757655503944178e-05,3.135531648475368e-06,1.0075530714824791e-05,1.6647905843587125e-09,0.0022324290157520734,0.0,0.01020841293473648,-5.7946938322146835,55008940.92110473,737.4700712729939
0.0,0.754739970328801,7.945909034045836e-06,0.0002157643944262,0.0,3.2135939807331902e-06,0.0001003913162734,0.0558979925521907,1.2074346809191498e-05,2.580709198306056e-05,0.1878171029528889,0.0,0.0,0.0,0.0,1.6399385923076776e-08,1.1371298091529728e-06,0.00010542573742046306,0.0012287784554197,7.007936469901517e-10,6.5974793409330025e-06,1.484765608351802e-06,1.1208066333078382e-05,1.8383468482365887e-06,0.0002022991090776077,0.03905587841813134,1.950751382379302e-05,8.35780745146393e-06,3.154340050325345e-12,1.8848653887295282e-05,9.55364464148332e-05,2.2568969166867745e-06,1.1911936256594642e-05,1.4850535294087002e-09,0.0002581015906104658,0.0,0.019701100587273947,-5.899527930945529,122205050.19030392,792.775626143827
0.0,0.755041593238045,2.2193417085003578e-05,0.0002470444353809,0.0,8.417678691304228e-06,0.0001390359164066,0.0631921477572426,1.8795417680950257e-05,2.2826634514660945e-05,0.17999057599664,0.0,0.0,0.0,0.0,4.398379500387917e-08,2.4395167340000504e-06,0.00015336121584927115,0.001389602656285,1.5800417364076673e-09,7.110091941606513e-06,1.6577309447065884e-06,1.2051672606652241e-05,1.5843757784021867e-06,0.0003313396737255392,0.02287001825863362,1.42726202100416e-05,1.25885576513799e-05,7.288065267039086e-12,2.1502007043962237e-05,8.434047123523941e-05,1.8162522503247333e-06,1.0839670038605251e-05,2.2546910586519007e-09,2.9937901936359998e-05,0.0,0.02659022781440792,-5.9907737434039365,231246773.6269258,869.127547531188
0.0,0.756116400631385,5.726411033971447e-05,0.0002462863860942,0.0,2.772652317344909e-05,0.0002201898727468,0.0710127167373307,2.727407118066769e-05,1.663246916335982e-05,0.1709779130079859,0.0,0.0,0.0,0.0,1.1702641969591646e-07,4.6918227202216295e-06,0.00019334634393615533,0.0014264933644579,3.6623088311045172e-09,5.931710629076159e-06,1.444565808341228e-06,8.277519348927478e-06,1.1247472298266424e-06,0.0006889443139402933,0.016210140015294878,1.3738326916676528e-05,1.8905529823045364e-05,2.045021795637441e-11,3.179107626556106e-05,6.0267822605623956e-05,1.3821641979412216e-06,8.489195279275084e-06,4.221945184188065e-09,4.578137077729983e-06,0.0,0.03238496520477245,-6.291715445821596,440369762.1915493,949.403105973347
0.0,0.7569035065042029,0.00014642465165952634,0.0002212907149051,0.0,0.0001007955229531165,0.0003971101468285,0.0800670484481938,3.4490319662974615e-05,1.0764008840171536e-05,0.16097609952754,0.0,0.0,0.0,0.0,2.6874184640438156e-07,7.898302579568456e-06,0.00022026103733836276,0.0014349446583295,9.289169219830701e-09,3.6629188554190166e-06,8.866305287625058e-07,3.7077834527240865e-06,5.517515034458454e-07,0.0018470665314397805,0.012568954216906248,1.6823566687868023e-05,2.8850194896714554e-05,7.160918158780984e-11,5.434089318368063e-05,3.196779560708943e-05,8.665646123766877e-07,5.553142374467725e-06,9.80752247401485e-09,9.821030506801026e-07,0.0,0.0379267475553628,-6.639827059393069,911335566.6557767,1044.6428935433698
0.0,0.7565744506245491,0.0003636269699693383,0.0001957367283935,0.0,0.00032100848552920046,0.0007787680285875,0.0905610685165098,3.5364877647105594e-05,8.893823009394521e-06,0.1503699882877909,0.0,0.0,0.0,0.0,5.060986830749942e-07,1.195267904436883e-05,0.0002502874598505605,0.001519987814169,2.541180722737758e-08,2.0384679237367254e-06,4.3377421076516057e-07,1.4173674414597855e-06,2.1976092352993125e-07,0.005181772067411642,0.009503305464866536,2.030402393147445e-05,4.166464159105666e-05,2.6368630598705583e-10,8.059144199940573e-05,1.4042092029575348e-05,5.051008243788469e-07,3.4588201559739127e-06,2.3043334580364063e-08,2.746903002199269e-07,0.0,0.043213813305601555,-6.991811344452645,2070455358.7032633,1149.96176077417
