Y_H,Y_H2,Y_HE,Y_O,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_O2,Y_OH*,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_N2H2,Y_N2H3,Y_N2H4,Y_H2NN,Y_NO,Y_N2O,Y_NO2,Y_HNO,Y_HON,Y_HONO,Y_H2NO,Y_HNOH,Y_NH2OH,Y_HNO2,Y_HONO2,Y_NO3,Y_HNO3,Y_CO,Y_CO2,Y_CH4,Y_C2H6,Y_N2,Y_AR,MF,CEM,HRR,T
0.00339532053199811,0.0151203985275203,0.0,0.00010121482099477464,0.000491528236056,0.110519013310159,9.838391146376217e-05,1.979841001387074e-05,0.072161727890579,1.424169154691421e-13,6.114649490407664e-05,0.00020967228451024142,0.0024465425058666297,0.0944906979849839,2.5294587839800008e-06,0.0003620024154254907,8.800395846572318e-06,0.0001225651661016387,2.459803064957189e-06,0.002822033680821555,0.01708434861308514,1.278999940183577e-06,0.00010295931445458286,1.6674067132366686e-09,6.633946824214521e-06,4.181358374866524e-05,1.0624961917791223e-06,3.232011180367193e-05,2.059068334583991e-08,1.4457568814020979e-08,7.705318775574455e-11,2.024648379062336e-08,0.0,0.0,0.0,0.0,0.707216634050701,0.0,0.21520083518011418,-7.4251208412676055,46325684587.477615,1133.4718968675
0.003237486925251763,0.0158052054787298,0.0,9.115064204158177e-05,0.0004197532174928,0.10568872213866,8.278043466944634e-05,1.618709738117478e-05,0.0762757772232159,8.350150541974931e-14,5.80038446539075e-05,0.00018725659559232701,0.002229189621815487,0.0987393344776641,1.8430051778024007e-06,0.0003245880321428772,7.176420445578849e-06,0.00010931687405301656,1.9097213750564177e-06,0.0023995382322208824,0.017886185874247663,9.636061754616952e-07,8.806563150433218e-05,1.2170821766700183e-09,4.850919175473844e-06,3.504200595575149e-05,7.971644449221451e-07,2.751877317399845e-05,1.3320646801717764e-08,1.388630118189419e-08,5.6551310472067085e-11,1.8809808759015758e-08,0.0,0.0,0.0,0.0,0.703071207464237,0.0,0.21863390442643754,-7.362464905568581,41057160066.86623,1096.88119992383
0.0026363209967637385,0.0159835322082079,0.0,6.600032693642023e-05,0.0003657504670871,0.0995011351794645,8.190515241068757e-05,2.2467464564440394e-05,0.0809365026102388,4.3223902132413915e-14,4.259536340915637e-05,0.00014886952677989684,0.0020600955839774732,0.102896331603589,1.3504346713058965e-06,0.000315957062364454,7.696186672914913e-06,0.00013204757257255094,2.3304609616378693e-06,0.0019777606462059224,0.020317081080869437,9.896732820902258e-07,8.062315772944347e-05,1.0494188412047378e-09,5.446657993180169e-06,3.96283527915094e-05,9.353324342097876e-07,3.565977656666096e-05,1.2686172246752422e-08,3.000263343182677e-08,8.668766086276822e-11,3.517202097513616e-08,0.0,0.0,0.0,0.0,0.7003167479314129,0.0,0.21862178150046224,-7.2862748057628,34732993282.419785,1052.91224456113
0.0020719227961327256,0.0164270541594927,0.0,4.3433120925867494e-05,0.000321342263311,0.0923609190663705,8.058333671043763e-05,3.400097587096079e-05,0.0856588194249221,1.9830403099472346e-14,2.904335249479617e-05,0.00011348205709357156,0.001932339432715872,0.108824950554399,9.781249481471134e-07,0.0003152434762203305,8.622448295792535e-06,0.0001687168535759203,3.1346486379842436e-06,0.0015830159834896763,0.023357097219601476,1.029590876275954e-06,7.467055030073142e-05,8.883526921101148e-10,6.287438381177858e-06,4.637654925175447e-05,1.1818430424204641e-06,4.933840964435516e-05,1.1936328678750298e-08,7.54470680549147e-08,1.5486218610838894e-10,7.07679805330662e-08,0.0,0.0,0.0,0.0,0.6964069145315049,0.0,0.22055948121963284,-7.192491347631613,29693933910.941803,1006.14340291173
0.0015349408305057933,0.0172370596500919,0.0,2.530332800135282e-05,0.0002773458002786,0.0859650408023184,7.676621497079348e-05,5.351715096211747e-05,0.0904413461175602,7.420994199453249e-15,1.7318132580982013e-05,7.758476659200417e-05,0.001758815053155444,0.113546171877853,6.346599060387578e-07,0.0002996717798168846,9.4573957601309e-06,0.00021710488200960928,4.298248322978681e-06,0.00120913089702095,0.026900654448146384,1.0724281196998673e-06,6.856095018064106e-05,7.276412270591326e-10,7.440683903989014e-06,5.349644988621476e-05,1.558875966564792e-06,7.081361714517419e-05,1.0541337391083769e-08,2.3397578114954386e-07,3.1750485089466706e-10,1.5389079402407e-07,0.0,0.0,0.0,0.0,0.692533035751898,0.0,0.22266182667709813,-7.077165742986975,24495396636.083225,952.381289503566
0.0012245730224648714,0.0179674589502097,0.0,1.674205112470486e-05,0.000247809235204,0.0803542580072826,7.272790221248136e-05,7.366950431463606e-05,0.0939784296634112,3.553732369163013e-15,1.1357573064184739e-05,5.7114537332217934e-05,0.0016541707414745137,0.1171416269372359,4.591853790240005e-07,0.00028627173840881364,9.940307456876019e-06,0.00026024782996885484,5.383755658630089e-06,0.001000054624455004,0.028993154149997386,1.1087010094377147e-06,6.597762342499706e-05,6.222383496574959e-10,8.183399720005386e-06,5.8705734945073835e-05,1.8673709643898277e-06,8.939563882070721e-05,9.119754172988023e-09,5.026783977575893e-07,5.098486692493538e-10,2.432763136348175e-07,0.0,0.0,0.0,0.0,0.690310417206657,0.0,0.2250770966268669,-7.040437988766529,21302071114.62269,917.307768370271
0.0008487599336024692,0.0182847443363255,0.0,8.62398918132425e-06,0.0002138532732217,0.0744340659698685,6.494789906326551e-05,0.00012111513477904134,0.0980791866381152,1.1203420566234014e-15,5.451205532553656e-06,3.494100120777971e-05,0.001586531243825333,0.121950642056176,3.0016028704103164e-07,0.00028407643273054044,1.1318992527834867e-05,0.0003511175424249094,8.505788577242502e-06,0.0007806707886047421,0.03184488594163826,1.2442053288930496e-06,6.822048782693248e-05,4.84067189641184e-10,9.307580367421248e-06,6.85608933684978e-05,2.471510537000062e-06,0.00012480426640700776,7.02230291893915e-09,1.4841992462722535e-06,1.0291814516650953e-09,4.2794222457536934e-07,0.0,0.0,0.0,0.0,0.687037507726292,0.0,0.22597755806474168,-6.934702526325656,17663376469.08817,872.7668399310229
0.0006725844271433641,0.0186219907649571,0.0,5.639502645810362e-06,0.0001923644782488,0.0709767842373113,5.901782175738601e-05,0.00015926137128163172,0.0992181367389926,5.397050147402033e-16,3.2999595500960224e-06,2.4618936858635402e-05,0.0015324457962100984,0.125688666933668,2.283644830792921e-07,0.0002746991945023144,1.1872212930165134e-05,0.0004174946818393035,1.0879709239564065e-05,0.0006700627982921066,0.03245706046619044,1.334427969450971e-06,6.978259821507973e-05,4.141664310548822e-10,9.761896619385966e-06,7.306263601857762e-05,2.8335537938885344e-06,0.00014885152458857595,5.533171145229562e-09,2.745718998574429e-06,1.5216944843409074e-09,5.713103776152801e-07,0.0,0.0,0.0,0.0,0.6853020568468221,0.0,0.22902704835069043,-6.840430617199787,15620186292.39487,847.105007804024
0.0004959016740098567,0.0190677753657695,0.0,3.3291827918367218e-06,0.0001704607659414,0.067278857592319,5.2610371007712554e-05,0.00022127008221370012,0.10269484090019,2.1084597926348706e-16,1.61756909381446e-06,1.4741980604755896e-05,0.0014454104164269605,0.128817656641295,1.5673823911683068e-07,0.00025633076351655297,1.2275779528938375e-05,0.0005023864652412581,1.4490366240760414e-05,0.0005725348233354154,0.03354301482064213,1.5599084715181733e-06,7.405398139283717e-05,3.513421657216529e-10,1.0712034910957878e-05,7.810569388229808e-05,3.3723053750509486e-06,0.0001833521519977586,3.789361629896892e-09,6.355740356641278e-06,2.67566739778598e-09,8.81163971123606e-07,0.0,0.0,0.0,0.0,0.6819704087344849,0.0,0.23053990560773874,-6.717373748574513,13422452087.334658,814.186381964552
0.00037639088361242985,0.0196072887541721,0.0,2.0814290774855646e-06,0.0001584013193134,0.0637488871036579,4.7718441080817656e-05,0.00029315146342555836,0.106309128480839,8.962645692019935e-17,7.914366918551359e-07,8.66538354063633e-06,0.0013680982470706364,0.131214857659843,1.1487882661410722e-07,0.00024362637978490013,1.2681182841555094e-05,0.000585489479074029,1.8978988300190983e-05,0.0005152021791443294,0.035072886229538754,1.9034845119569523e-06,8.023068086478528e-05,3.161883003783093e-10,1.2202758000562502e-05,8.154125275138381e-05,4.086253858420319e-06,0.0002232898202071096,2.3817957089721072e-09,1.4226243517230258e-05,4.8641936925164965e-09,1.4168125379572057e-06,0.0,0.0,0.0,0.0,0.6789614366821751,0.0,0.23149733511073883,-6.605822856020653,12068208617.67126,783.4092538338
