Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N2,Y_AR
1.2799600495498117e-10,1.0367629303666916e-57,1.577556098988382e-59,2.3739124563059773e-15,8.179446922992913e-63,2.2878451982506398e-14,1.1859484526073557e-46,5.490798215008759e-56,1.388135519306433e-166,-2.98965181731652e-129,3.332142174278549e-91,7.548900124466166e-99,5.402270800551784e-47,0.999999999871873,6.578757302289551e-15,0.0,7.845357113773523e-65,2.1669017468323053e-61,-1.541470553171032e-92,1.794083895392997e-73,1.113216252425439e-73,-1.5421021411989286e-162,2.949049947502256e-98,1.0360369879348102e-150,2.072278328383077e-101,1.131851474908924e-91,2.9311298648309888e-83,-4.5495349494800196e-104,8.933445725243144e-80,3.361372781374906e-149,8.786373087606818e-14,0.0
1.1036870419052095e-9,1.068299654320677e-56,4.9704072565005026e-58,2.8368013809506646e-15,2.5770572703828992e-61,5.973116056904878e-13,1.4171964135906046e-46,6.561448735492322e-56,1.1531388508488734e-163,2.03443316023445e-127,-2.6822480454178453e-88,5.314681155971435e-98,6.455659065186997e-47,0.9999999988932783,1.7345499181695425e-13,1.4845788889394647e-14,2.1313825400232943e-62,3.094337519703693e-61,-2.6562317007668206e-89,2.561811086025504e-73,1.5898205995661956e-73,-1.4599423137368644e-159,9.291574213432251e-97,3.195643316767794e-148,3.536222505788382e-101,1.6162848802534967e-91,4.1856559696796274e-83,-1.7026620022040825e-99,2.8146615126647458e-78,1.0912832055027843e-146,2.231587360714237e-12,0.0
9.413282665083397e-9,4.721326674042739e-55,6.703049989109055e-56,1.469957161198855e-14,3.475396212317681e-59,1.5409022085295397e-11,7.343546038549816e-46,3.399975063713871e-55,4.047215915186574e-160,9.804012427848087e-123,7.194636084988866e-84,4.1559733245944696e-95,3.3451568894246293e-46,0.9999999905085533,4.514312018195134e-12,5.594119873615112e-13,2.4515156730019173e-59,8.308436681769865e-60,1.0680124942999399e-85,6.875328281757789e-72,4.27209709444083e-72,-1.506974368639297e-155,1.2530545402777917e-94,1.829958695307902e-144,4.919966392357763e-99,4.33979981107174e-90,1.1238680194056721e-81,1.2679225709236556e-96,3.7958307503121596e-76,6.504128479540871e-143,5.753050838385067e-11,0.0
7.75360836076611e-8,8.104368716379304e-53,3.4913524981584513e-53,3.0633405434434337e-13,1.810197225311454e-56,3.8140179760099735e-10,1.530372047252113e-44,7.085473019014906e-54,5.283318714579087e-156,1.0511279251055276e-117,-1.566042594271027e-79,3.267837481949218e-92,6.971255642692872e-45,0.9999999205214759,1.1282939281716888e-10,1.802146780611753e-11,1.0516725430797791e-55,3.6083138370475686e-57,1.834892291928525e-81,2.974394439081725e-69,1.8672553333196873e-69,-8.134183440552711e-151,6.526728206601813e-92,1.6211056345921606e-139,4.4528732319199706e-95,1.884771046428784e-87,4.880947449735405e-79,4.164299854740661e-92,1.9771161459412793e-73,5.815276913261963e-138,1.4258993320534044e-9,0.0
5.998474354566118e-7,1.426419921234038e-50,1.8472501124956465e-50,6.968607437751716e-12,9.57770076967838e-54,8.784772458363997e-9,3.4814488759156117e-43,1.6119433256530265e-52,3.6244788125180166e-151,9.987803006921329e-113,1.85958309721374e-75,-1.1722539502954643e-88,1.5861778818722635e-43,0.999999355192679,2.6242098448955937e-9,5.379498963310849e-10,4.2961236451490786e-52,1.8676522601549912e-54,-1.0085416227416592e-77,1.495165397733567e-66,1.0123241843788857e-66,6.080522268809944e-146,3.4540054775922705e-89,1.509570124424966e-134,5.24411156263738e-91,9.757545537203438e-85,2.526877205831338e-76,-4.649595609234092e-88,1.0462973462767053e-70,5.416807519252712e-133,3.2889716267458826e-8,0.0
4.216334957836433e-6,2.0605275365682765e-48,7.892252230280389e-48,1.4294262964082386e-10,4.0923588323195743e-51,1.8115881783056235e-7,7.145016145789949e-42,3.309614142846535e-51,2.2115634515579034e-144,6.00233728337735e-108,-8.720686555252438e-72,-1.6094305782664475e-85,3.2674708741542517e-42,0.9999948511079246,5.464191270234759e-8,1.4350975979528136e-8,1.239154398312215e-48,7.892103965107635e-52,-1.1100440774618614e-73,5.252142411884115e-64,5.380269187252751e-64,2.553743608580455e-113,1.4822519880987289e-86,9.371371007915865e-130,4.564886837977715e-87,4.140800879206863e-82,1.0722349632132354e-73,-1.3227705113452482e-84,4.489346995842015e-68,3.360881957618198e-128,6.792197137017176e-7,0.0
1.276270660753099e-5,4.597454754836999e-47,4.249222681623499e-46,1.040977250709927e-9,2.2042031020296738e-49,1.32517087921843e-6,5.219859313823222e-41,2.422272206316615e-50,2.407267291152667e-140,5.7127373652283825e-105,4.0450802064100035e-69,5.756646128963348e-82,2.446529830534791e-41,0.9999803732089743,4.0315180152195745e-7,1.3232855971025738e-7,1.5924654966392989e-46,4.305077846622194e-50,-2.337812504673109e-71,2.0273780061188836e-62,3.806157519890765e-62,-1.4687598197879816e-108,8.21353934959295e-85,1.1679423806604195e-126,1.8646897740086402e-84,2.3224715882512804e-80,6.010707540378905e-72,1.2088309787736911e-82,2.470877940961856e-66,4.153806219342397e-125,4.974809974012003e-6,0.0
4.015488860430686e-5,1.274096016184308e-45,2.8690084386776547e-44,8.427244063336882e-9,1.4921094034154402e-47,1.0778080314373717e-5,4.3290206369069844e-40,2.0324176764365466e-49,7.542044386704868e-137,3.5574324625308095e-102,-3.8338855234766043e-66,-4.469064557382226e-78,2.4377974052004437e-40,0.9999035774109772,3.3089683223792184e-6,1.373076307277716e-6,1.1741567248609777e-44,3.4841578513281865e-48,4.120519150123454e-69,8.298226204318031e-61,3.95858188332387e-60,-1.1593519463976524e-108,6.877027147722896e-83,2.893720244638732e-123,1.5055333748525274e-81,2.3142037802756885e-78,5.965426451895355e-70,6.421709689156119e-80,3.090008902379613e-64,1.3029497760817338e-121,4.0517914734377266e-5,0.0
0.00011949331949922959,3.901529427009335e-44,1.737225211220906e-42,6.172230234242237e-8,9.182868135957779e-46,7.92802760321367e-5,3.7387185719265325e-39,1.8842971021627665e-48,2.95018853301633e-60,-5.589719908423973e-80,2.752568822092479e-65,2.1076287012633408e-76,4.5838622764942055e-39,0.9994627575136785,2.455829844686994e-5,1.2771262888609922e-5,4.135351056545264e-43,4.912272622588906e-46,6.239043893963418e-67,4.886958679829647e-59,6.675563830635845e-58,1.0754034724007126e-104,1.1237682947769731e-80,3.606139344669059e-109,-3.2883624460137605e-69,8.38792853093186e-76,2.106169226347413e-67,-7.00466398925794e-76,6.817343262685368e-61,1.1779069283663082e-116,0.00029850463219806956,0.0
0.00020549417022991184,3.2650496042774633e-43,2.1293349367381865e-41,1.9050366661618312e-7,1.1660470994749405e-44,0.0002453779755809386,1.6940336902658102e-38,9.927946184800844e-48,-2.08831643169327e-61,-3.156190210023078e-79,9.743229594237598e-64,2.8431117766129822e-74,4.484809659323853e-38,0.9984903160871131,7.654456866535632e-5,4.7236980843012076e-5,3.552829155157928e-42,1.5654503542339167e-44,2.1273657602965364e-67,1.0301956105571422e-57,2.4943866907899916e-56,-7.461632983401764e-103,4.8818173825563424e-79,6.600541280930142e-107,-3.913074434857462e-67,8.48396407120526e-74,2.0109779110590277e-65,-4.457857009319262e-75,-7.141100882196734e-60,-1.7055683206621605e-115,0.0009254413405450321,0.0
