Y_H2O,Y_NH3,Y_NO,Y_N2O,Y_N2,Y_O2,Y_H2,Y_NO2,Y_AR,Y_HE,Y_H,Y_O,Y_OH,Y_HO2,Y_H2O2,Y_OHV,Y_NH2,Y_NH,Y_N,Y_N2H4,Y_N2H3,Y_N2H2,Y_H2NN,Y_NNH,Y_NO3,Y_HNO,Y_HON,Y_H2NO,Y_HNOH,Y_NH2OH,Y_HONO,Y_HNO2,Y_HONO2,Y_t-ONNH,Y_c-ONNH,Y_ONHN,Y_H2NNO2,Y_t-HNN(O)OH,Y_c-HNN(O)OH,Y_CO,Y_CO2,Y_CH4,Y_C2H6,MF,CEM,HRR,T
0.0453471409024383,0.1412895739823829,0.00019905074303096994,0.49838313443884047,0.669886986283332,0.122730617830048,0.0206505701773541,7.312783022183271e-05,0.0,0.0,5.260180482654357e-06,6.9704505906432e-08,9.51108244451843e-05,5.458850745303164e-06,6.832211882914573e-05,7.995117618533521e-21,0.00019182730688336883,3.6162423838388285e-07,4.026330981090247e-09,0.00027558451273237625,0.0001890432486346275,0.00036284005857837996,0.00020340232071356382,1.6681493495920996e-08,2.1312194398712233e-06,4.850501757930884e-06,2.7747921598098065e-07,7.529414078397203e-05,1.3252113385086152e-06,2.4592549153874197e-05,1.3401300839585217e-05,5.292023168511126e-12,0.0037624569549818744,2.459552043109836e-06,2.4774795394742357e-08,4.523329517148789e-14,0.04149668907672976,3.014696166580789e-08,9.899141469397724e-08,0.0,0.0,0.0,0.0,0.02191401485027692,-6.685371751324244,560094366.4475842,643.093592872109
0.0416063195490606,0.144471094490346,0.0001580791580332295,0.6187692401630207,0.6671382555146861,0.125445664361419,0.0212486198861064,7.781359977025203e-05,0.0,0.0,1.4745920222165456e-06,2.6189225755412774e-08,9.00461983821247e-05,2.475202269003951e-06,4.8928184149532615e-05,7.592393659941432e-22,0.00012052340592391099,1.8978447386561896e-07,1.821240039012258e-09,0.00019812934524357474,0.0001326604826525177,0.000194719028832258,0.0001941184773631229,8.786170962219275e-09,2.681556776996811e-06,7.276651683560736e-06,1.8506138354921103e-07,0.0001576165169664729,9.98211808881684e-07,2.0135717344367243e-05,1.5589506728127435e-05,2.6110719377850635e-12,0.004937747177515962,1.1351598868229602e-06,8.860315104866227e-09,1.1524691656036498e-14,0.05365719551058008,1.8174390179011592e-08,3.149913903535198e-07,0.0,0.0,0.0,0.0,0.0,-6.779743013938788,213304327.04424196,610.374844241899
0.0383221580586965,0.147288165619071,0.00014625398652038835,0.6512843940887734,0.6628774760795121,0.12961593615862,0.0218124964038864,7.787834999297728e-05,0.0,0.0,6.06579882177421e-07,1.2992101047002782e-08,8.376768021369829e-05,1.6941011905637035e-06,4.8352059299066126e-05,1.4043450012658345e-22,9.28158452058974e-05,1.2641829729919947e-07,1.1230832380500228e-09,0.00016731071363721822,0.00010995360126449674,0.0001264546787298657,0.00019053745645201148,6.324738496728674e-09,2.7822901252315014e-06,1.0493202149745186e-05,1.5654141724383967e-07,0.00026559944752190196,8.563070326898702e-07,1.8351655650653613e-05,2.0120300234964295e-05,1.5410218215569456e-12,0.00556099196600719,5.392950668518081e-07,3.375945971133746e-09,3.147166548282673e-15,0.06090091497016959,1.0549158763695184e-08,8.405073218062341e-07,0.0,0.0,0.0,0.0,0.0,-6.920236002786683,136242667.69073373,584.239136616736
0.0344729373443815,0.149858627457966,0.00014443948659282019,0.662102729187381,0.661107511766735,0.132322405156947,0.022154438813703,7.463244959335773e-05,0.0,0.0,2.7841203843330494e-07,8.54629977321465e-09,8.40794602671872e-05,1.3490783784515995e-06,5.264808497323461e-05,3.540633412820311e-23,8.064506265309162e-05,9.98850284901734e-08,8.594814635418592e-10,0.00014992742778449658,9.68045227794726e-05,9.223500440596772e-05,0.00020377811371975768,5.566432071017835e-09,2.7577748225200202e-06,1.3612826617350976e-05,1.3823729895861314e-07,0.0003970210772911361,8.521971253791217e-07,1.7906514841918353e-05,2.4417547533649432e-05,9.266254659255818e-13,0.005707567350741366,2.259349783151025e-07,1.114734299588506e-09,7.713441602973276e-16,0.06452322906964478,5.264172815625044e-09,2.270588295422006e-06,0.0,0.0,0.0,0.0,0.0,-7.135319211792881,114703204.25535017,557.4269197558
0.0298226347502874,0.15300266203338,0.0005248782583626495,0.0012213928193915947,0.6589371032882629,0.135685122825469,0.0224708843503633,0.00021206281442225953,0.0,0.0,3.820912535806572e-07,2.7302880042528407e-08,8.159275223804029e-05,9.355454005969807e-06,0.00033092151335987796,1.7462634081482181e-22,0.0002678917648126209,2.9547875208282153e-07,2.5368243890026537e-09,0.000585816341193266,0.00037069471554830146,0.0002869133263914457,0.0009010937004912137,5.603450360470451e-08,2.7205344973595376e-07,4.711414805967222e-05,4.33339724529419e-07,0.0015042847529745033,3.3367020112792663e-06,6.643533259289047e-05,7.734632044537507e-05,1.7157340153442108e-12,0.0005829630809035356,5.3904384383764186e-08,1.8338208099252725e-10,2.5456002565278063e-19,0.0001227170749866334,2.1108340006645705e-11,4.522373014245011e-07,0.0,0.0,0.0,0.0,0.2656255145035845,-7.414015211309164,2862946546.412532,525.131361907532
0.0267700004146292,0.155029475428482,0.0004474141530547113,0.004278442833212083,0.65695540443096,0.138385612234517,0.0227783308817334,0.00016051971182700158,0.0,0.0,2.8872639290796003e-07,2.3300194131580278e-08,8.1176609677868e-05,6.1330318324784676e-06,0.00031239586136389073,4.460216100504763e-23,0.00027265653407037796,2.848916810651535e-07,2.3821204022864084e-09,0.0005452100197101366,0.000342552190952792,0.00025539192924998094,0.0009457236166587116,3.560197759140904e-08,7.15836835076478e-07,4.149131917256459e-05,2.447309292031255e-07,0.001711319769798156,2.4651627280986345e-06,4.83241284287901e-05,5.130873726772681e-05,6.670029806750916e-13,0.0013812630102041682,3.411936105812243e-08,8.58241557522033e-11,2.1294266216351025e-19,0.00027018853492834634,9.915017794344579e-12,3.7446913240485694e-07,0.0,0.0,0.0,0.0,0.2635139348527042,-7.439775313651704,3307455516.073865,499.2116888847409
0.0240180060543868,0.157283292114028,0.00043022667578625066,0.0031610890461709435,0.655149274890023,0.1403384185414549,0.0231298502485533,0.00014009550542050487,0.0,0.0,1.5256738617453513e-07,2.193467341346541e-08,8.11581515531288e-05,6.069139896861473e-06,0.00033714404542570334,1.8012528427743913e-23,0.00026039279634764177,2.555690546641527e-07,2.1436592097559656e-09,0.0005357758295775129,0.000335107405037559,0.0002307539746794493,0.0010193936704583886,3.5926313204416616e-08,5.761180430464844e-07,3.778313344734128e-05,1.8052273008141449e-07,0.0017523472045301127,2.6777982031122026e-06,4.835808339679602e-05,4.723477947853626e-05,4.0906700490274647e-13,0.0010955001510381522,2.370201777734916e-08,4.7481279202769054e-11,4.286394650758765e-20,0.0002037791062693808,8.286357727854639e-12,2.7684434290663835e-07,0.0,0.0,0.0,0.0,0.2669732057253864,-7.226176727246909,3195522429.376357,481.319580455761
0.021720097496272,0.159513252540051,0.00038878160949096404,0.0012438031318443225,0.65345606066273,0.141847620592776,0.0233835840581981,0.00011787592357592293,0.0,0.0,7.478011783092478e-08,2.2880529500574337e-08,7.938464997291071e-05,5.814064602608684e-06,0.0002884334056707538,7.249180268449352e-24,0.0002495307280581206,2.2751502712378873e-07,1.925812011172508e-09,0.0005391618203038756,0.00033686321995593196,0.00021533912254541315,0.001115634717621684,3.633301637953918e-08,2.520924110380794e-07,2.7708448602722054e-05,1.203015858188613e-07,0.0014742571784453467,2.847918525657997e-06,4.7915984288417744e-05,3.80459970884576e-05,2.1776640444614765e-13,0.0004591346067171945,1.591195603994297e-08,2.4768778803839745e-11,3.946140457032892e-21,8.092782628632179e-05,7.498981471916627e-12,1.0641530697748465e-07,0.0,0.0,0.0,0.0,0.2716266866771639,-6.9825275033917,3050568735.664594,462.881996656252
0.0196234517452982,0.161164510942932,0.00032327899570499765,0.00033053895501573794,0.652480018473157,0.142947965535148,0.0237068390059822,9.340604120463425e-05,0.0,0.0,3.020856759954576e-08,3.301340240104246e-08,7.72142974829573e-05,5.444232067432969e-06,0.000147486039963556,3.1172907198873962e-24,0.00023881740621676796,1.9906859993051267e-07,1.7239391447608796e-09,0.0005486711324987785,0.00034352663515428033,0.00016812504031480792,0.0012583345101091225,3.710699592309892e-08,7.651930051468589e-08,1.1088759512725288e-05,6.75568952237329e-08,0.0006918044800218446,3.048350174158005e-06,4.6913774555082896e-05,2.4678348080787802e-05,9.037093827692125e-14,0.00012796663687935543,9.54972951522762e-09,1.0828954185478098e-11,1.6466860983075776e-22,2.1502963246417242e-05,7.597862698890992e-12,2.729003775619305e-08,0.0,0.0,0.0,0.0,0.275338892507741,-6.754373205977915,2864698150.898149,441.170689579843
0.0173962337867492,0.16259163375782,0.0003097336051226102,0.00021414813728040075,0.65106358434452,0.1447432248757559,0.0241246375158349,7.296922547833384e-05,0.0,0.0,1.3561046782024935e-08,4.047038057385423e-08,8.068571932020159e-05,5.5761321676024295e-06,0.00013481742200230918,1.2763202973000235e-24,0.0002311075266514324,1.8167427399326196e-07,1.6074425414477174e-09,0.000525572977246638,0.0003306461826760107,0.0001528100198707819,0.0013463333119995145,3.8735691988472316e-08,5.598195171628248e-08,7.216324874421243e-06,4.3962513359042134e-08,0.0005047912445567967,3.4512979315503043e-06,4.5636961464527705e-05,2.2503886394427463e-05,4.7199489685579374e-14,8.969099280457427e-05,5.3802140949178375e-09,4.590464366066478e-12,1.9400684262550498e-23,1.3732325955121008e-05,7.497231883403467e-12,1.7019168485488642e-08,0.0,0.0,0.0,0.0,0.2774966463428098,-6.7970404913939255,2876402250.2361965,422.350891153149
