t,y_true_1,y_true_2,y_true_3,y_recon_1,y_recon_2,y_recon_3
0.1,0.9960777454462226,3.580455903840309e-5,0.0038864499947389433,0.9960777454462226,3.1341281984074305e-5,0.0038864499947389433
0.13257113655901093,0.9948332465911942,3.557838798376087e-5,0.0051311750208220186,0.9948332465911942,3.11908414990105e-5,0.0051311750208220186
0.1757510624854792,0.9932073385021968,3.528488836179207e-5,0.00675737660944152,0.9932073385021968,3.099511509133877e-5,0.00675737660944152
0.2329951810515372,0.9910925956110259,3.4906152426501936e-5,0.008872498236547692,0.9910925956110259,3.0741936570104676e-5,0.008872498236547692
0.3088843596477481,0.9883576806314612,3.442139342836743e-5,0.011607897975110448,0.9883576806314612,3.0416853625079136e-5,0.011607897975110448
0.40949150623804254,0.98484617777731,3.3807348172380294e-5,0.015120014874517688,0.98484617777731,3.000334955968192e-5,0.015120014874517688
0.542867543932386,0.9803779241796259,3.3039649207636976e-5,0.019589036171166536,0.9803779241796259,2.9483523955997023e-5,0.019589036171166536
0.719685673001152,0.9747545516249376,3.2095202107029765e-5,0.025213353172955536,0.9747545516249376,2.883945109265209e-5,0.025213353172955536
0.9540954763499939,0.9677702450575303,3.095588831786495e-5,0.03219879905415207,0.9677702450575303,2.80552980614872e-5,0.03219879905415207
1.2648552168552962,0.9592279825566729,2.9613077936472986e-5,0.040742404365391026,0.9592279825566729,2.7120104546810704e-5,0.040742404365391026
1.6768329368110082,0.9489598355619258,2.8072302795119102e-5,0.05101209213527946,0.9489598355619258,2.603080920819596e-5,0.05101209213527946
2.2229964825261948,0.9368468657112595,2.6355935404318667e-5,0.06312677835333654,0.9368468657112595,2.4794675636441837e-5,0.06312677835333654
2.947051702551811,0.9228334102204822,2.450370447362511e-5,0.07714208607504475,0.9228334102204822,2.343022576427277e-5,0.07714208607504475
3.906939937054617,0.9069301305625107,2.2568292836023528e-5,0.09304730114465365,0.9069301305625107,2.196598046416753e-5,0.09304730114465365
5.179474679231212,0.8892042959578285,2.0608121736483727e-5,0.11077509592043559,0.8892042959578285,2.0437126439096448e-5,0.11077509592043559
6.8664884500430015,0.869760701219592,1.8679145713380976e-5,0.13022061963469528,0.869760701219592,1.8881049157880844e-5,0.13022061963469528
9.102981779915218,0.8487188039082123,1.68276985319348e-5,0.15126436839325622,0.8487188039082123,1.7332958186184828e-5,0.15126436839325622
12.067926406393289,0.826193511040142,1.5086930987801473e-5,0.17379140202887072,0.826193511040142,1.5822737121142328e-5,0.17379140202887072
15.998587196060582,0.8022833187395133,1.3476406371536513e-5,0.19770320485411588,0.8022833187395133,1.4373402060789314e-5,0.19770320485411588
21.209508879201906,0.7770659071535905,1.2004136448730906e-5,0.22292208870996166,0.7770659071535905,1.3000947003749278e-5,0.22292208870996166
28.11768697974231,0.7506001803789991,1.0669640789578082e-5,0.24938914998021225,0.7506001803789991,1.1715129065149092e-5,0.24938914998021225
37.2759372031494,0.7229318354210886,9.466850870294619e-6,0.2770586977280421,0.7229318354210886,1.0520658971082563e-5,0.2770586977280421
49.417133613238356,0.6941007807478328,8.386659617354976e-6,0.3058908325925508,0.6941007807478328,9.418460520014216e-6,0.3058908325925508
65.51285568595509,0.6641488215722802,7.4186056928349165e-6,0.33584375982202785,0.6641488215722802,8.40679043794616e-6,0.33584375982202785
86.85113737513525,0.6331269432009927,6.552038057362776e-6,0.36686650476095095,0.6331269432009927,7.4821476568606625e-6,0.36686650476095095
115.1395399326447,0.6011019344869064,5.7767419231685086e-6,0.3988922887711716,0.6011019344869064,6.639968613060178e-6,0.3988922887711716
152.64179671752333,0.5681620469998938,5.08328731616624e-6,0.4318328697127913,0.5681620469998938,5.8751303805024984e-6,0.4318328697127913
202.35896477251575,0.5344217434213151,4.463155931164785e-6,0.46557379342275523,0.5344217434213151,5.182303377911262e-6,0.46557379342275523
268.26957952797244,0.5000252723329712,3.908761505255805e-6,0.4999708189055251,0.5000252723329712,4.556185942290544e-6,0.4999708189055251
355.64803062231283,0.46514897145200246,3.413388379697518e-6,0.5348476151596199,0.46514897145200246,3.9916538187377736e-6,0.5348476151596199
471.48663634573944,0.43000202528476905,2.97112384217901e-6,0.5699950035913904,0.43000202528476905,3.4838479744992067e-6,0.5699950035913904
625.0551925273976,0.3948254003967257,2.5767595915751456e-6,0.6051720228436844,0.3948254003967257,3.028219214855127e-6,0.6051720228436844
828.6427728546843,0.3598886509911297,2.225703929986381e-6,0.6401091233049424,0.3598886509911297,2.6205427683231107e-6,0.6401091233049424
1098.5411419875584,0.3254844010749045,1.913895420297442e-6,0.6745136850296773,0.3254844010749045,2.256913026318788e-6,0.6745136850296773
1456.3484775012444,0.2919203654546904,1.6377223505571132e-6,0.7080779968229615,0.2919203654546904,1.933724886471749e-6,0.7080779968229615
1930.6977288832495,0.2595090066389929,1.3939517785022119e-6,0.740489599409231,0.2595090066389929,1.6476467671294527e-6,0.740489599409231
2559.547922699536,0.2285551917292404,1.1796661483912245e-6,0.7714436286046132,0.2285551917292404,1.395588981132844e-6,0.7714436286046132
3393.2217718953298,0.19934252409979783,9.922066328683756e-7,0.8006564836935715,0.19934252409979783,1.1746702978260529e-6,0.8006564836935715
4498.432668969444,0.17211935607249676,8.291240999077142e-7,0.8278798148034056,0.17211935607249676,9.821851766374443e-7,0.8278798148034056
5963.623316594642,0.1470857599700799,6.881382586353815e-7,0.8529135518916634,0.1470857599700799,8.155739784242346e-7,0.8529135518916634
7906.043210907702,0.12438285240617034,5.671050639195097e-7,0.8756165804887679,0.12438285240617034,6.723982207917996e-7,0.8756165804887679
