Y_AR,Y_N2,Y_H,Y_H2,Y_HE,Y_O,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_O2,Y_CO,Y_CO2,Y_HCO,Y_HOCO,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_N2H2,Y_N2H3,Y_N2H4,Y_H2NN,Y_NO,Y_N2O,Y_NO2,Y_HNO,Y_HON,Y_HONO,Y_H2NO,Y_HNOH,Y_NH2OH,Y_HNO2,Y_HONO2,Y_NO3,MF,CEM,HRR,T
0.0,0.707216634050701,0.0037595916132606684,0.0151203985275203,0.0,0.00011655897754948876,0.000491528236056,0.110519013310159,3.094515307378848e-05,1.8917625467743155e-06,0.072161727890579,0.0,0.0,0.0,0.0,4.941609711484834e-05,0.0002768456715486948,0.003669140447976417,0.0944906979849839,1.023928978637041e-06,6.575367172140122e-05,1.1453447533321323e-05,0.0002707992610323428,1.108926671716765e-06,0.0019030910907095837,0.008599993010949911,5.991132544597194e-07,8.190086136786108e-05,1.215718082771273e-09,8.768672541215438e-06,2.976841933104464e-05,8.660685188829388e-07,2.938062613999899e-05,2.763196416522959e-09,6.730038866590748e-09,0.0,0.22133290735045774,-7.473249466546552,44484406530.56891,1133.4718968675
0.0,0.703071207464237,0.0035712906627271227,0.0158052054787298,0.0,0.00010192447241397862,0.0004197532174928,0.10568872213866,2.61472606595598e-05,1.398661803602125e-06,0.0762757772232159,0.0,0.0,0.0,0.0,4.266727412236947e-05,0.00023879519790494602,0.0034006144194562923,0.0987393344776641,6.474714324552846e-07,5.937681730732983e-05,9.203731240110611e-06,0.00025569484374101797,8.268065164533418e-07,0.0016173871805104736,0.008829897868111839,4.4275063680868787e-07,7.117550907547886e-05,8.780833503077877e-10,6.632651798107725e-06,2.489481189473597e-05,6.49357875556661e-07,2.5015162919183796e-05,2.000182259436437e-09,6.306900830065713e-09,0.0,0.2251145260035391,-7.447604692753288,41458007756.706726,1096.88119992383
0.0,0.7003167479314129,0.002796449468480707,0.0159835322082079,0.0,7.102463837363934e-05,0.0003657504670871,0.0995011351794645,2.7093768929039676e-05,1.7725342498291595e-06,0.0809365026102388,0.0,0.0,0.0,0.0,2.7288026790959137e-05,0.00017763744944742217,0.00306687227571754,0.102896331603589,4.520123382053394e-07,5.5645734531577855e-05,9.212209555803517e-06,0.0003447536465782994,9.048410266565342e-07,0.0012070106528528904,0.008945904651086366,4.4158285318476074e-07,6.0988251831675365e-05,6.647764462802961e-10,6.670697711462734e-06,3.0104001519621792e-05,7.524021532899022e-07,3.1798359176407064e-05,1.7877763018694417e-09,1.3288559744117335e-08,0.0,0.22648167580991208,-7.356589964591665,35415926923.95132,1052.91224456113
0.0,0.6964069145315049,0.0020560357038355496,0.0164270541594927,0.0,4.434653409331832e-05,0.000321342263311,0.0923609190663705,2.7084072291424068e-05,2.422135820620043e-06,0.0856588194249221,0.0,0.0,0.0,0.0,1.5552160409312524e-05,0.00012439243997512054,0.0027551310522611083,0.108824950554399,2.996607082158999e-07,5.263838751802982e-05,9.290187864204118e-06,0.0004928084897558511,1.0838584026128063e-06,0.0008297657799645517,0.008778273596647701,4.296162865838569e-07,5.081480781590534e-05,4.589470125864662e-10,6.479564027046153e-06,3.726533335438894e-05,9.339520882980577e-07,4.2576168150135506e-05,1.549899281356309e-09,3.158889543622244e-08,0.0,0.23047215893392387,-7.238355387066919,30510281536.370327,1006.14340291173
0.0,0.692533035751898,0.0013663215329964551,0.0172370596500919,0.0,2.4104645808720244e-05,0.0002773458002786,0.0859650408023184,2.636028769868724e-05,3.5823887267952722e-06,0.0904413461175602,0.0,0.0,0.0,0.0,7.29616243150872e-06,7.556490653817928e-05,0.0023316773014701807,0.113546171877853,1.6601540292698213e-07,4.612046246494336e-05,8.481853909368639e-06,0.0006860212576539385,1.345601177533285e-06,0.0005126443321030514,0.008206289241510152,4.18537566426539e-07,3.987274269915392e-05,2.7968999097884226e-10,6.0776722694723746e-06,4.6811765362216715e-05,1.2071129575113398e-06,5.753775506570416e-05,1.267003949291911e-09,9.446900959719448e-08,0.0,0.23529522023558974,-7.069195916149221,25323775111.69878,952.381289503566
0.0,0.690310417206657,0.0009966422456850962,0.0179674589502097,0.0,1.5315824893378415e-05,0.000247809235204,0.0803542580072826,2.4881460225557426e-05,4.619734970172396e-06,0.0939784296634112,0.0,0.0,0.0,0.0,4.072407622526125e-06,5.163416952147716e-05,0.0020566606577665024,0.1171416269372359,1.0592584776176801e-07,4.1596341590386056e-05,7.684179788994816e-06,0.000832690020191503,1.6015909820563274e-06,0.00036100663032542513,0.0076864464242472515,4.1246228718935915e-07,3.3748829417135595e-05,1.896644897807162e-10,5.580446429290769e-06,5.375973942625709e-05,1.4169364682719828e-06,6.826580132795057e-05,1.0693161904866808e-09,2.0053625994006483e-07,0.0,0.23956399089028163,-6.982950178717774,22083079576.228134,917.307768370271
0.0,0.687037507726292,0.0005943449017189083,0.0182847443363255,0.0,7.373790868046879e-06,0.0002138532732217,0.0744340659698685,2.0438673684881758e-05,6.495167648462417e-06,0.0980791866381152,0.0,0.0,0.0,0.0,1.6367891754226978e-06,3.061112005645306e-05,0.0018186447295429752,0.121950642056176,6.060788867192904e-08,4.104740126197947e-05,7.545277339717051e-06,0.0011585571307025566,2.5163431752334317e-06,0.00021511731714822784,0.007155042970005991,4.3549036079193544e-07,2.8170003083144247e-05,9.982090252391839e-11,4.575330391310207e-06,6.544025943397411e-05,1.822364438648567e-06,8.717896712118398e-05,8.234941107834513e-10,6.028909769387376e-07,0.0,0.24284506051862534,-6.7725874704468145,18327064059.53431,872.7668399310229
0.0,0.6853020568468221,0.0004219671257686153,0.0186219907649571,0.0,4.583622087662059e-06,0.0001923644782488,0.0709767842373113,1.72876398808408e-05,7.594291547016594e-06,0.0992181367389926,1.7065615512116325e-28,4.0353204904001297e-25,2.3903720123652636e-34,7.856179274820987e-34,9.135143423151057e-07,2.200124263907197e-05,0.0016774507506136544,0.125688666933668,4.3147968963394674e-08,4.1051030172501166e-05,7.319994664752291e-06,0.0013759133857597198,3.3156858462617675e-06,0.00015737865967667476,0.006920850225514539,4.827016137198499e-07,2.539124742016545e-05,6.633785833957494e-11,3.947341093782595e-06,7.15649092152317e-05,2.048956224403761e-06,9.814930644751272e-05,6.900853166717286e-10,1.2256113495335456e-06,0.0,0.24674509819506096,-6.641764787864869,16155177760.114826,847.105007804024
0.0,0.6819704087344849,0.00026557667638240934,0.0190677753657695,0.0,2.52931227722687e-06,0.0001704607659414,0.067278857592319,1.387827290810218e-05,9.301799138052823e-06,0.10269484090019,0.0,0.0,0.0,0.0,4.2522239401592125e-07,1.4300526578139512e-05,0.0015011307225181116,0.128817656641295,2.8338736462748828e-08,4.159708047538167e-05,6.934181824442496e-06,0.0016148090512237774,4.8185714071417925e-06,0.00011156415816635251,0.0072324075519497235,6.510647859097616e-07,2.307651454646238e-05,4.084508153171713e-11,3.4475753042611983e-06,8.066109802170778e-05,2.3775333690862757e-06,0.00011247900185456852,5.750122127093772e-10,3.581953854587188e-06,0.0,0.24901756807802566,-6.499370125089034,13789184610.523226,814.186381964552
0.0,0.6789614366821751,0.00016975592977823601,0.0196072887541721,0.0,1.4978101103367478e-06,0.0001584013193134,0.0637488871036579,1.09295261720711e-05,1.1073315220686153e-05,0.106309128480839,0.0,0.0,0.0,0.0,2.1226698151075993e-07,9.798721550531877e-06,0.0013680279128530965,0.131214857659843,2.0597589276559855e-08,4.4310757299652364e-05,6.733299205078522e-06,0.001791944302171475,7.192689198353742e-06,8.61034588833534e-05,0.008561773403732102,9.940993512688845e-07,2.174149478922006e-05,2.7190648857174667e-11,3.2433487996993634e-06,8.903746109134446e-05,2.801508189053779e-06,0.00012846705079359828,5.095958862206678e-10,1.0727878907096729e-05,0.0,0.2503198762471699,-6.457223082418041,12274474207.23798,783.4092538338
