variable,mean,std,sem,n
CEM,-4.470149354919762,2.4283390833569407,0.009997313794942939,59000
HRR,1255548689.846522,4278896651.1960416,17615938.734141555,59000
MF,0.2965310969338144,0.2963618843682408,0.0012201025693636186,59000
T,1017.1947897546816,653.549619731472,2.6906212043455238,59000
X_AR,0.0,0.0,0.0,59000
X_H,0.0002823552081661021,0.0009386738571116574,3.8644591132149094e-06,59000
X_H2,0.14099332619488555,0.1481682125372127,0.0006099988775548528,59000
X_H2NN,8.304045095386779e-07,2.658832684260286e-06,1.0946240932734417e-08,59000
X_H2NO,1.6859368554896498e-06,3.723619152224469e-06,1.53298974483357e-08,59000
X_H2O,0.10992502272796255,0.10340106821768116,0.0004256954610619804,59000
X_H2O2,1.2821119302058892e-06,5.6424040129949945e-06,2.322940970738588e-08,59000
X_HNO,1.5274920921516884e-05,3.8177619467547954e-05,1.5717477199822229e-07,59000
X_HNO2,2.758962570516703e-09,1.752922147085628e-08,7.216666273103106e-11,59000
X_HNOH,1.3405974221066587e-07,3.0536864549950395e-07,1.2571828181321953e-09,59000
X_HO2,2.9783455036365363e-06,6.205591994983093e-06,2.5548017936386695e-08,59000
X_HON,2.4411743329440586e-05,7.291517112347646e-05,3.0018700894343233e-07,59000
X_HONO,9.20924426442028e-07,5.910455383918268e-06,2.4332959737384185e-08,59000
X_HONO2,1.5028177867739262e-09,1.87776447844298e-08,7.730634017569144e-11,59000
X_N,7.65960032811651e-06,2.511245277721103e-05,1.033863319563276e-07,59000
X_N2,0.5348055535781987,0.22788688237945826,0.0009381954474616579,59000
X_N2H2,2.226993045442179e-05,5.954538476292042e-05,2.4514446956583754e-07,59000
X_N2H3,1.7229280217658901e-06,5.444807497757366e-06,2.241591772796802e-08,59000
X_N2H4,1.2686000149294838e-06,3.7673532756823957e-06,1.5509947985244757e-08,59000
X_N2O,0.0008895826177272008,0.0021745722390938793,8.952572230538719e-06,59000
X_NH,2.1918072118730048e-05,5.905743292056814e-05,2.4313560362192963e-07,59000
X_NH2,0.00020466008666887123,0.0004331313941452985,1.7831737303036161e-06,59000
X_NH2OH,1.4961062168267587e-07,2.92242299002481e-07,1.2031425048121633e-09,59000
X_NH3,0.1520229911804137,0.1759431571289357,0.0007243465148447612,59000
X_NNH,9.674062435073463e-09,2.888287264718575e-08,1.1890890491047899e-10,59000
X_NO,0.0021337520120528856,0.00918352271765244,3.7807964703364046e-05,59000
X_NO2,3.596518131260237e-06,1.0778083950029634e-05,4.437266940814868e-08,59000
X_NO3,5.790425544317079e-11,2.662968820768494e-10,1.0963269137260992e-12,59000
X_O,0.00011866619374745736,0.0005525716597228061,2.2749015219096235e-06,59000
X_O2,0.06545899293479425,0.08492941888868653,0.00034964888424008836,59000
X_OH,0.00044388036949896074,0.0014370385299512715,5.916194001822042e-06,59000
