x,variable,mean,std,sem,n
-3.04810672416116,X_NO,1.0453177116215003e-61,4.055854440128124e-61,1.2825737888911896e-62,1000
-2.94299959574181,X_NO,5.437536709207152e-62,3.660432543498996e-61,1.1575304058860197e-62,1000
-2.83789246732246,X_NO,1.3833000649278592e-61,8.937463234630577e-61,2.82627403254485e-62,1000
-2.73278533890311,X_NO,7.43288837164214e-61,3.134839270494167e-60,9.913232193302244e-62,1000
-2.62767821048376,X_NO,6.258274297809291e-60,2.242104826769662e-59,7.090158005449396e-61,1000
-2.52257108206441,X_NO,5.235037320749532e-58,3.687550634217395e-57,1.1661058991325408e-58,1000
-2.41746395364506,X_NO,1.0513988747674111e-54,9.232427210940448e-54,2.9195498318287637e-55,1000
-2.31235682522571,X_NO,4.3190767647287764e-51,7.968292805295869e-50,2.5197954327867553e-51,1000
-2.20724969680636,X_NO,1.0097570224148268e-45,1.8790121212971258e-44,5.941958054363498e-46,1000
-2.10214256838701,X_NO,3.1058122007389427e-40,6.547050598701458e-39,2.0703591848265634e-40,1000
-1.99703543996766,X_NO,6.945033949018506e-35,1.5411983989161895e-33,4.873697266779941e-35,1000
-1.89192831154831,X_NO,2.4715035255106296e-30,3.985011209187672e-29,1.2601711922334755e-30,1000
-1.78682118312896,X_NO,1.828032282529786e-26,2.07340236572598e-25,6.556673981675535e-27,1000
-1.68171405470961,X_NO,8.991626002686856e-23,7.997984534068973e-22,2.5291847818458517e-23,1000
-1.57660692629026,X_NO,1.128007129274051e-16,2.745618306725123e-15,8.682407434706189e-17,1000
-1.47149979787091,X_NO,1.24261952365284e-07,1.9028097599776013e-06,6.017212795527525e-08,1000
-1.36639266945156,X_NO,1.0885393397840347e-05,1.4565817082903938e-05,4.6061157963366075e-07,1000
-1.26128554103221,X_NO,2.7821353246705873e-05,2.559214643315003e-05,8.092947294130822e-07,1000
-1.15617841261286,X_NO,4.803384165809823e-05,3.525055933768947e-05,1.1147205630201527e-06,1000
-1.05107128419351,X_NO,5.484658273917167e-05,4.855633494054626e-05,1.5354861324214275e-06,1000
-0.945964155774154,X_NO,6.112540722479411e-05,6.805231878397772e-05,2.1520032741322974e-06,1000
-0.840857027354804,X_NO,7.037586950837344e-05,9.116636175157183e-05,2.882933491258246e-06,1000
-0.735749898935453,X_NO,0.00012068992877759678,0.00014326348819484233,4.530389282363462e-06,1000
-0.630642770516103,X_NO,0.00016022299029714215,0.00020215565175339448,6.39272301416538e-06,1000
-0.525535642096753,X_NO,0.00021617039264837165,0.00029220547386538635,9.240348421834264e-06,1000
-0.420428513677402,X_NO,0.0002885360072287998,0.00042333643520871516,1.3387073517958386e-05,1000
-0.315321385258051,X_NO,0.00029531191129959414,0.0004876616009589933,1.5421213864345714e-05,1000
-0.210214256838701,X_NO,0.00028951721250774354,0.0005855655766113248,1.851720941481608e-05,1000
-0.10510712841935,X_NO,0.0006353006921225859,0.0010170383294272637,3.216157588682805e-05,1000
0.0,X_NO,0.0011294981990480019,0.001543096917683217,4.879700910264322e-05,1000
0.10510712841935,X_NO,0.0011663971763522228,0.002054234469528154,6.496059771736723e-05,1000
0.210214256838701,X_NO,0.0015751144464814489,0.004075779930683685,0.00012888747822563645,1000
0.315321385258051,X_NO,0.001980211766613822,0.004582838005731947,0.00014492206245696743,1000
0.420428513677402,X_NO,0.002599016214939712,0.005115486700495887,0.00016176589313866596,1000
0.525535642096753,X_NO,0.003337757096887459,0.007182480490055107,0.000227129975982965,1000
0.630642770516103,X_NO,0.004306836858903432,0.007053250877248539,0.0002230433768068608,1000
0.735749898935453,X_NO,0.0062759604515038375,0.00785921994415431,0.0002485303565574895,1000
0.840857027354804,X_NO,0.009212209008792462,0.01163274894248499,0.0003678598210716762,1000
0.945964155774154,X_NO,0.011631124196789619,0.01557896989001454,0.0004926502845162881,1000
1.05107128419351,X_NO,0.014915890609422337,0.020969345916609466,0.0006631089414043714,1000
1.15617841261286,X_NO,0.017933911806687484,0.027506193850357727,0.000869822223292471,1000
1.26128554103221,X_NO,0.019384254096334975,0.030381994715373263,0.0009607630315977863,1000
1.36639266945156,X_NO,0.01673338573171224,0.026296318375311458,0.0008315626014292268,1000
1.47149979787091,X_NO,0.00813702950240591,0.014575888889887229,0.0004609300781358686,1000
1.57660692629026,X_NO,0.0029565262797074344,0.005494134185574192,0.0001737397779700866,1000
1.68171405470961,X_NO,0.00032718308728158597,0.0006399948761184742,2.0238414993716805e-05,1000
1.78682118312896,X_NO,1.0032292625309551e-05,3.9101273203375264e-05,1.2364908273517408e-06,1000
1.89192831154831,X_NO,6.804402167152785e-08,2.151738895770087e-06,6.804395840609124e-08,1000
1.99703543996766,X_NO,2.911409019795858e-20,8.861772477020292e-19,2.802338513357627e-20,1000
2.10214256838701,X_NO,1.9391361671545297e-26,5.910059390198063e-25,1.868924877989169e-26,1000
2.20724969680636,X_NO,2.6272302766365967e-35,8.015200750929625e-34,2.534629027642957e-35,1000
2.31235682522571,X_NO,1.0334979801314251e-42,3.2393722913401526e-41,1.0243794629873419e-42,1000
2.41746395364506,X_NO,4.873920543485327e-53,1.0830732988891264e-51,3.4249784974019543e-53,1000
2.52257108206441,X_NO,2.1253469065771494e-59,3.7566903855761634e-58,1.1879698082476838e-59,1000
2.62767821048376,X_NO,2.3522658170836464e-61,1.901485542134013e-60,6.013025251023549e-62,1000
2.73278533890311,X_NO,5.360546333481753e-62,6.825608447467711e-62,2.1584469110483716e-63,1000
2.83789246732246,X_NO,4.9301400198952825e-62,5.944554599142652e-62,1.8798332208520006e-63,1000
