Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N2,Y_AR
5.1180825239884046e-8,4.269862251703972e-64,4.1841455834260916e-98,0.0,3.953008598061342e-83,2.2378354305882725e-11,7.297779960944064e-140,1.1817556482432087e-138,8.012680991017368e-178,9.777877121429076e-130,-1.7867304700066935e-95,5.604321467904785e-105,3.0459388257067592e-61,0.999999948707446,6.719445631295887e-12,4.85575920651916e-13,1.6426351600207833e-66,9.412209437821148e-70,1.1597077606876165e-96,2.8188567977591083e-103,3.821415457962638e-92,2.3429323869234213e-183,1.6714167112427149e-109,1.1562715871717646e-160,2.65129419728915e-119,3.6882201791640874e-120,7.408953525284614e-112,1.1563410945916464e-106,4.427886803904131e-91,8.159697749203886e-167,8.199219203656039e-11,0.0
1.4091341774525311e-7,2.759647678491235e-54,2.7729392438500097e-55,5.742087079168172e-15,1.334156424182863e-58,1.516100571656569e-10,2.87682974109278e-46,1.3329882878963307e-55,1.7034321917321197e-158,5.918286585859084e-120,-7.881930863081696e-83,1.716667206151722e-94,1.3104667134075003e-46,0.9999998583274868,4.5921553134185407e-11,4.204253978254918e-12,1.4548192628648517e-57,1.2714876140657517e-60,-4.97240742008976e-84,1.0544267965708561e-72,6.678319775581482e-73,4.2536615394044835e-155,5.010692926945844e-94,4.750846341580546e-143,3.056524184441384e-100,6.901641184336312e-91,1.3864124303981245e-82,-1.4411573009407594e-94,1.3274233360943589e-75,1.5041411248587934e-141,5.561947852001324e-10,0.0
3.87111209710028e-7,1.2862379146100303e-52,3.202362707785959e-53,9.741986483469003e-14,1.5407712582584095e-56,1.0230792268691543e-9,4.88082754505038e-45,2.2615817307955553e-54,1.3734107647509681e-155,1.2780812346232613e-116,-1.9066492939085674e-79,7.29131671882254e-92,2.223378393158e-45,0.9999996077495011,3.1258606024126473e-10,3.590783118968768e-11,4.6154786401608615e-55,3.659963117910464e-58,8.02953850472934e-82,2.993486738518041e-70,1.9653767820000884e-70,2.4457753999543904e-151,5.786805620119186e-92,2.5089535735499797e-139,1.492713966380152e-96,1.9866740155384204e-88,3.990859517114021e-80,1.354214025141998e-91,1.533027763551075e-73,8.096511670532497e-138,3.758025207259527e-9,0.0
1.0555359016933858e-6,2.5355788107310926e-51,1.5560215617492517e-51,7.042436458752327e-13,7.486643186323191e-55,6.8173393776000075e-9,3.5284023943923377e-44,1.6349975710084075e-53,1.0481404883906436e-152,1.1380942260477588e-113,2.9016180375108685e-76,3.7910143819328117e-91,1.607508167167192e-44,0.9999989100898184,2.101055525459141e-9,3.0227022383471195e-10,6.114451715799424e-53,1.912895294391164e-56,-7.337684112714016e-79,1.5081145369047101e-68,1.0855105778824232e-68,8.456921815591598e-119,2.812246718767965e-90,2.401163471774443e-136,5.640651456174529e-94,1.0384979758775652e-86,2.0861420982661343e-78,-3.664529058236688e-89,7.450080817939925e-72,7.756673484826355e-135,2.507380285676687e-8,0.0
2.8383413911355663e-6,4.48132089041434e-50,6.718923574217611e-50,4.625750354778218e-12,3.2328419167189206e-53,4.4429706484272414e-8,2.317884573511867e-43,1.074229976224848e-52,8.32810290568399e-149,8.682484376313513e-111,-3.594730105012521e-74,4.520663229747028e-89,1.0568914364800837e-43,0.9999969366716918,1.3811384724898723e-8,2.4851771074024312e-9,7.095102675185173e-51,8.260949890182218e-55,2.4610208824072415e-76,5.935851442270427e-67,5.284165450799826e-67,1.758578086314948e-110,1.2155640551143237e-88,1.8343575668900078e-133,1.6015608029456798e-91,4.489146795866351e-85,9.017624247825977e-77,5.179013351545608e-87,3.220113079093619e-70,5.926419606609598e-132,1.6361822621821845e-7,0.0
7.474066615890797e-6,7.45505017255612e-49,2.6912371472738282e-48,2.9107705896732314e-11,1.2950539176413231e-51,2.8028919135714303e-7,1.4595882591817922e-42,6.768324120786986e-52,8.864859224483043e-145,5.808835419541757e-108,3.555307441469902e-72,1.0765678622222694e-85,6.690626596101836e-43,0.99999109951425,8.787815728534604e-8,1.974389966786527e-8,7.453966522505837e-49,3.290961787421177e-53,8.310829067505985e-75,1.9138823296089234e-65,2.5717776009891536e-65,-8.096881351285964e-110,4.899485170176061e-87,1.2312331693895905e-130,4.0390609809128944e-89,1.7991891720365877e-83,3.6136577186341356e-75,-2.38961469641886e-87,1.297081940917864e-68,3.975280113241244e-129,1.0335078265250094e-6,0.0
1.9129071568169488e-5,1.1742473581530958e-47,9.880134389879098e-47,1.750426390637375e-10,4.756838191907062e-50,1.6924238661632758e-6,8.81229445423914e-42,4.09593323691272e-51,6.674625689196484e-141,3.2628837618329632e-105,-2.1574969615212718e-69,-3.854915394661604e-82,4.1682095677113803e-42,0.9999722081025048,5.351250268725259e-7,1.4978313015764951e-7,6.843420981549557e-47,1.2335392149005056e-51,2.5637972340195565e-72,4.791737027074394e-64,1.2124501126344486e-63,-1.2675414782304903e-110,1.8658047266698477e-85,7.4320101555293e-128,9.433673620437908e-87,6.987312529661443e-82,1.4023528628385377e-73,-2.0211948650032988e-83,4.960986754674472e-67,2.3849055169270576e-126,6.2483084694065395e-6,0.0
4.720310366373055e-5,1.845007400247466e-46,3.274371251090523e-45,9.945485108510047e-10,1.5800829452265584e-48,9.65663458260364e-6,5.111447934745988e-41,2.4003629873213035e-50,2.4970267063920567e-137,1.3934065009506551e-102,-3.9965467160087984e-67,-4.096638797231094e-79,2.8405433565243145e-41,0.9999030333391641,3.0789250665172105e-6,1.0704182143527839e-6,4.956048652813617e-45,4.789609641573344e-50,-1.5237322192837329e-69,1.0185642521953206e-62,5.617507581460131e-62,2.3303491396540487e-140,7.464699537273623e-84,4.851155005328732e-125,2.4996105381369544e-84,3.2563268791698892e-80,6.510140795761302e-72,4.488879242086466e-81,3.0993463336537563e-65,2.2483421525599948e-123,3.569688706340111e-5,0.0
0.00011129283764025684,3.311952862754785e-45,9.913126617110736e-44,5.2594263089051555e-9,4.833302905069379e-47,5.1274767825568125e-5,2.9908494976464433e-40,1.4695019284708933e-49,-1.5189645163064615e-60,-4.5815655249413686e-80,-2.928063078354838e-65,-3.704878171105044e-69,2.9341516777376682e-40,0.9996223571002415,1.6484683714113215e-5,7.089155527442014e-6,2.1997881243013615e-43,2.654353453521874e-48,2.8147300035858636e-67,2.801811343791684e-61,3.516837991326308e-60,-4.0711694662543064e-106,4.554267868116699e-82,3.1505462001437455e-113,-3.223968190004583e-70,3.536377491983394e-78,6.93899044529596e-70,-2.2497537037249486e-76,1.6209031527413365e-62,3.5018519896170023e-119,0.00018980652039948844,0.0
0.0002479387915949057,7.269468594403199e-44,3.1340458430491576e-42,2.5375067438678786e-8,1.5959040130020865e-45,0.000248247956166493,2.303255278308907e-39,1.3611266494901689e-48,1.6791041484069575e-60,-8.242905871150118e-79,4.591382281257012e-65,1.43807407071794e-75,6.322453455051168e-39,0.998449979364323,8.049681902801977e-5,4.25685583840714e-5,6.006798069148903e-42,2.9458586422495744e-46,5.3103761857978477e-67,1.6465849179609912e-59,4.7831580896020705e-58,-3.0707898886871045e-103,7.370965441043174e-80,4.783432037232418e-108,-4.728218798100841e-68,1.7758116224845178e-75,3.2119705383635437e-67,-8.191809588629547e-75,3.700300022305515e-60,2.0046891619075872e-115,0.000920768552206085,0.0
