index,p_init,p_pred,delta,gbar_end
1,6.207262617307833e-10,5.61434152926873e-10,-5.929210880391028e-11,-3.3193808267120295e-8
2,7.550056800846317e-11,6.132287898042946e-11,-1.4177689028033707e-11,2.7185433992045664e-6
3,-0.001493239787858476,-0.0015529015448812813,-5.966175702280525e-5,-0.002079563419226711
4,2.910739785368867e-10,2.4392671797539984e-10,-4.7147260561486873e-11,3.6119969781997024e-7
5,1.6779006482025523e-10,1.39526223694196e-10,-2.8263841126059225e-11,-2.942917560496718e-8
6,-3.633796913832911e-16,-2.2994353953491167e-18,3.61080255987942e-16,3.132726254617853e-5
7,-9.646507046250214e-10,-4.726192341923724e-10,4.92031470432649e-10,0.0006632288293993137
8,-1.4230937195029182e-12,-7.775516227167717e-13,6.455420967861465e-13,9.34105267003252e-6
9,-1.3552086539415745e-12,-7.648950209251951e-13,5.903136330163794e-13,6.390994966726597e-6
10,-6.911936734692489e-5,-5.876313144459669e-5,1.0356235902328203e-5,0.014858762659909354
11,-0.015846547550611642,-0.016869138227814582,-0.0010225906772029399,-0.0010756042409781836
12,3.2725317496893767e-6,2.1407116936249693e-6,-1.1318200560644074e-6,8.681206923929084e-5
13,3.984909945468851e-11,3.270049352843901e-11,-7.1486059262495e-12,5.239145547509027e-6
14,1.1839450118834509e-11,9.315890742913764e-12,-2.5235593759207444e-12,5.229881451274994e-6
15,-1.1126597663414997e-7,-9.126669222415429e-8,1.9999284409995688e-8,-1.1754897608815832e-5
16,-2.4706050435640195e-12,-1.676728304246032e-12,7.938767393179875e-13,8.002848618437457e-7
17,-8.042176429105808e-14,-5.629294572616747e-14,2.4128818564890608e-14,4.900513386489853e-8
18,-7.418086137962552e-8,-6.218939089835317e-8,1.1991470481272357e-8,4.117969828582425e-6
19,-1.1938296206920407e-8,-1.0029960862869706e-8,1.9083353440507018e-9,6.347229954574914e-7
20,-1.2590367073789444e-10,-7.564441354907086e-11,5.0259257188823575e-11,1.6528929996587204e-6
21,0.009553253107336783,0.00948052042505325,-7.273268228353245e-5,0.0008519010412204066
22,-3.0256807725787097e-5,-2.5257084720903618e-5,4.999723004883479e-6,-0.00020573491124323043
23,0.01433985893378528,0.014311925494932992,-2.793343885228866e-5,0.0011189854219322318
24,3.378963088484406e-8,3.494073103343912e-8,1.1511001485950564e-9,5.332282918944409e-7
25,-0.001182897362336398,-0.0010376346436047534,0.00014526271873164446,4.659986567377662e-5
26,-4.435623208393208e-8,-3.2505311799347575e-8,1.1850920284584507e-8,2.6848522334818196e-6
27,-8.553385412737538e-5,-7.565833587028768e-5,9.8755182570877e-6,1.5675699546440014e-6
28,-1.5540904109806149e-9,-7.852165673810785e-10,7.688738435995364e-10,3.124536894197907e-5
29,-8.23502332266038e-8,-6.124694595722895e-8,2.1103287269374856e-8,-7.83076626196681e-7
30,-8.484451121600731e-8,-1.4154137089726392e-8,7.069037412628093e-8,7.68754761511101e-7
31,0.0012967978402523151,0.0012932258043112151,-3.572035941100003e-6,-4.030152095872085e-5
32,7.527744709401536e-7,5.909213257648731e-7,-1.618531451752805e-7,-2.8786211967294564e-6
33,6.889680497850256e-5,6.302768042027395e-5,-5.869124558228607e-6,5.7840294950581e-6
34,5.804256514054178e-11,5.3002599274530704e-11,-5.039965866011077e-12,2.1757265156814994e-9
35,0.00016226276218569993,0.00014708832599124745,-1.517443619445248e-5,5.057752460857303e-5
36,2.4297378606819416e-5,2.2185985959796376e-5,-2.11139264702304e-6,4.889842429248919e-6
37,0.0,0.0,0.0,0.0
38,0.031179293216583137,0.02819775034729883,-0.002981542869284308,-0.05186116026406465
39,6.879735919962978e-5,6.0264313073596274e-5,-8.533046126033509e-6,2.175851113642081e-5
40,4.287779457394593e-6,3.7456854815200746e-6,-5.420939758745185e-7,6.27476326684946e-7
41,8.868479297619756e-5,7.755679096458533e-5,-1.1128002011612223e-5,5.014481401149574e-5
42,1.1468438162514528e-6,1.0046946934275282e-6,-1.421491228239246e-7,5.309362789988451e-7
43,9.716539635393914e-5,8.372286853357752e-5,-1.344252782036162e-5,0.0006743071814982978
44,3.400377543366257e-6,3.0288252955835414e-6,-3.715522477827157e-7,-8.269461348996542e-7
45,0.0002472730264520227,0.0002309547043244886,-1.6318322127534095e-5,-3.351649803522107e-5
46,-4.719199079439629e-6,-3.943486720332714e-6,7.757123591069147e-7,-4.606965326588264e-5
47,6.28763271625498e-5,5.7226249278753134e-5,-5.65007788379667e-6,-1.3283600742653532e-5
48,-4.130004655481998e-8,-3.456220001313717e-8,6.737846541682812e-9,1.3041121716356156e-6
49,1.2581764465281373e-12,1.7831745331955697e-11,1.657356888542756e-11,0.0007645485943410445
50,0.00015312936720357208,0.00015754060858782042,4.411241384248346e-6,-0.00013775030514269262
51,-1.4172806431055792e-6,-8.013540589028305e-7,6.159265842027488e-7,0.00010274730867630312
52,0.18034661897837512,0.16187397365569003,-0.018472645322685083,-0.030225507567868452
53,0.03855602681423913,0.02833843568766657,-0.010217591126572556,-0.0015665140569100892
54,4.564612280926612e-5,3.362454461653367e-5,-1.2021578192732454e-5,-0.0005018161568367318
55,9.628150024379136e-5,8.589338542685818e-5,-1.0388114816933179e-5,0.000613339815050014
56,-0.00010491522666904074,-9.439343181822961e-5,1.0521794850811123e-5,-6.35644597031676e-5
57,-0.00015445138663576754,-0.00014129228045432445,1.3159106181443087e-5,4.1280220321441644e-5
58,1.9715505709141592e-5,5.929694141458133e-6,-1.378581156768346e-5,0.00042877816623108065
59,1.5144283065653014e-6,1.035034866515417e-6,-4.793934400498845e-7,-1.4987521765338293e-6
60,-5.858789275694639e-7,-2.3229112259249255e-7,3.535878049769714e-7,9.151615972143482e-5
61,-6.547265028917122e-5,-3.348376679279884e-5,3.198888349637239e-5,0.0005962006265263231
62,-0.01627866298266065,-0.013311138743102144,0.002967524239558506,0.0007731017819681573
